BrainTrace version-string audit v0.1.16
Generated: 2026-08-17
Scope: repository text files; VERSION_STRING_AUDIT_v0.1.16.txt excluded to avoid self-recursion

Summary: CURRENT=50, HISTORICAL=14, MODEL_LOCK=11, PROVENANCE=85

file	line	value	classification	action
reproducibility/TRACEABILITY_MATRIX.md	66	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	68	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	76	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	77	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	78	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	79	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	80	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	92	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	93	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	94	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	123	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	124	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	157	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	158	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	159	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	160	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	168	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	193	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	196	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	197	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	198	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	199	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	221	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	221	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/TRACEABILITY_MATRIX.md	221	v0.1.14	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/independent_enrichment/README.md	24	v0.1.12	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/independent_enrichment/README.md	25	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
reproducibility/lomo_network_f1_provenance.json	38	v0.1.15	PROVENANCE	PRESERVE: manuscript/release provenance
scripts/generate_lomo_f1_evidence.py	262	v0.1.15	HISTORICAL	PRESERVE: explicitly historical or previous-release reference
tests/test_cli.py	58	0.1.16	CURRENT	KEEP: current executable/documentation patch version
tests/test_online_resource_compliance.py	48	0.1.16	CURRENT	KEEP: current executable/documentation patch version
tests/test_online_resource_compliance.py	49	0.1.16	CURRENT	KEEP: current executable/documentation patch version
