gene_symbol	raw_counts
ACAT2	85236
ACBD3	13270
ACBD4	74258
ACBD5	87165
ACBD6	41638
ACBD7	86373
ACCS	80985
ACCSL	52069
ACD	68950
ACE	67696
ACE2	36951
ACER1	6094
ACER2	89473
ACER3	91470
ACHE	70559
ACIN1	41342
ACKR1	12540
ACKR2	82275
ACKR3	55730
ACKR4	67990
ACLY	47472
ACMSD	10292
ACO1	6184
ACO2	55715
ACOD1	76927
ACOT11	33075
ACOT12	95525
ACOT13	52983
ACOT2	83224
ACOT4	9094
ACOT6	93608
ACOT7	91999
ACOT8	72017
ACOT9	51445
ACOX1	36996
ACOX2	48535
ACOX3	52403
ACP1	62598
ACP2	98765
ACP4	59931
ACP5	86857
ACP6	39837
ACP7	87131
ACPP	13014
ACR	73762
ACRBP	60851
ACRV1	68444
ACSBG1	12781
ACSBG2	32456
ACSF2	90938
ACSF3	3964
ACSL1	74032
ACSL3	12135
ACSL4	28640
ACSL5	69395
ACSL6	60275
ACSM3	66739
ACSM4	45120
ACSM5	78024
ACSS1	1075
ACSS2	42844
ACSS3	6291
ACTA1	23230
ACTA2	48712
ACTB	94153
ACTBL2	31009
ACTC1	70992
ACTG1	91556
ACTG2	29148
ACTL10	31894
ACTL6A	61424
ACTL6B	64606
ACTL7A	1344
ACTL7B	48504
ACTL8	30842
ACTN1	40001
ACTN2	17112
ACTN3	1707
ACTN4	12082
ACTR10	72243
ACTR1A	22672
ACTR1B	79433
ACTR2	14753
ACTR3	18184
ACTR5	8107
ACTR6	93053
ACTR8	24232
ACTRT1	34237
ACTRT3	12891
ACVR1	80055
ACVR1B	56762
ACVR1C	33407
ACVR2A	28859
ACVR2B	75331
ACVRL1	48479
ACY3	73098
ACYP2	3336
ADA2	76657
ADAD2	47583
ADAL	45856
ADAM10	53701
ADAM11	4270
ADAM12	65524
ADAM15	43270
ADAM17	25343
ADAM18	85776
ADAM19	85496
ADAM2	85606
ADAM22	15617
ADAM23	30987
ADAM28	61531
ADAM32	48504
ADAM33	11439
ADAM5	94000
ADAM8	16121
ADAM9	8253
ADAMDEC1	22521
ADAMTS1	16019
ADAMTS10	30913
ADAMTS12	75984
ADAMTS13	75044
ADAMTS14	98125
ADAMTS15	70130
ADAMTS16	37460
ADAMTS17	19067
ADAMTS18	69210
ADAMTS19	15293
ADAMTS2	37442
ADAMTS20	81846
ADAMTS3	81470
ADAMTS4	9664
ADAMTS5	20471
ADAMTS6	88010
ADAMTS7	53019
ADAMTS8	15288
ADAMTS9	46608
ADAMTSL1	71678
ADAMTSL2	51376
ADAMTSL3	78326
ADAMTSL4	23707
ADAMTSL5	67389
ADAP1	24374
ADAP2	31658
ADAR	23439
ADARB1	52664
ADARB2	48993
ADAT1	44001
ADAT2	1008
ADCK1	23240
ADCK2	31060
ADCK5	69185
ADCY1	52294
ADCY10	96421
ADCY2	25586
ADCY3	95157
ADCY4	15512
ADCY5	91047
ADCY6	52694
ADCY7	88494
ADCY8	78075
ADCYAP1	97021
ADCYAP1R1	1465
ADD1	64452
ADD2	46405
ADD3	70365
ADGB	88566
ADGRA1	318
ADGRA2	31556
ADGRA3	66192
ADGRB1	9778
ADGRB2	45082
ADGRB3	70360
ADGRD1	59049
ADGRD2	33866
ADGRE1	27089
ADGRE2	67983
ADGRE5	92023
ADGRF1	78732
ADGRF3	16371
ADGRF4	1872
ADGRF5	71699
ADGRG1	81970
ADGRG2	27439
ADGRG3	28772
ADGRG4	66742
ADGRG5	39978
ADGRG6	70674
ADGRG7	89786
ADGRL1	65028
ADGRL2	80302
ADGRL3	98553
ADGRL4	50010
ADGRV1	8302
ADH1A	43048
ADH1B	21897
ADH5	16232
ADI1	97233
ADIG	22531
ADIPOQ	56237
ADIPOR2	97446
ADIRF	39843
ADK	51693
ADM	41753
ADM2	92364
ADM5	57368
ADNP	45701
ADNP2	63035
ADO	6211
ADORA1	62038
ADORA2A	97877
ADORA2B	64032
ADPGK	15031
ADPRH	99098
ADPRHL2	4566
ADPRM	8441
ADRA1A	25266
ADRA1B	82651
ADRA1D	58063
ADRA2A	65460
ADRA2B	49064
ADRA2C	65943
ADRB1	54165
ADRB2	61421
ADRB3	28659
ADRM1	32436
ADSL	1569
ADSS	48987
ADSSL1	81347
ADTRP	6774
AEBP1	5840
AEBP2	51867
AEN	41165
AFAP1	4714
AFAP1L1	77105
AFAP1L2	94588
AFDN	85964
AFF1	37233
AFF2	23040
AFF3	97442
AFF4	16532
AFG1L	43033
AFG3L2	23488
AFM	55505
AFMID	18086
AFP	31245
AFTPH	18505
AGA	21847
AGAP1	17813
AGAP2	7541
AGAP3	73389
AGBL1	1434
AGBL2	44885
AGBL3	62526
AGBL4	78255
AGBL5	10999
AGER	21000
AGFG1	83387
AGFG2	9901
AGK	34879
AGL	98035
AGMAT	33070
AGMO	54378
AGO1	56968
AGO2	40467
AGO3	6024
AGO4	88302
AGPAT1	52757
AGPAT2	52403
AGPAT3	99780
AGPAT4	66154
AGPAT5	57551
AGPS	20338
AGR2	41277
AGR3	43939
AGRN	33535
AGRP	97946
AGT	19623
AGTPBP1	20374
AGTR1	54465
AGTRAP	66991
AGXT2	67014
AHCTF1	36820
AHCY	80164
AHCYL1	73294
AHCYL2	85148
AHDC1	78047
AHI1	59679
AHNAK	36167
AHSA1	71559
AHSG	90614
AICDA	68444
AIDA	62284
AIF1	45158
AIF1L	91643
AIFM1	78590
AIFM2	2449
AIFM3	42682
AIG1	2932
AIM2	94293
AIMP1	32497
AIMP2	61895
AIP	54048
AIPL1	8664
AIRE	36218
AJAP1	93371
AJM1	91949
AJUBA	56806
AK1	26299
AK3	30688
AK5	74560
AK6	84943
AK7	41526
AK8	59834
AK9	89534
AKAIN1	87662
AKAP1	44744
AKAP10	84723
AKAP11	55853
AKAP12	49937
AKAP13	39513
AKAP14	31375
AKAP17A	92571
AKAP3	89903
AKAP4	55429
AKAP6	15609
AKAP7	90057
AKAP8	40889
AKAP8L	42211
AKAP9	12651
AKIP1	78995
AKIRIN1	68574
AKIRIN2	64651
AKNA	34192
AKNAD1	4225
AKR1A1	1332
AKR1B1	21254
AKR1C1	9087
AKR1C8P	9569
AKR1E2	4807
AKR7A2	44321
AKR7A3	62118
AKR7L	45515
AKT1	11583
AKT1S1	80099
AKT2	69002
AKT3	85525
AKTIP	68452
ALAD	36437
ALAS1	53837
ALAS2	49757
ALB	64817
ALCAM	49101
ALDH16A1	25544
ALDH18A1	17741
ALDH1A1	5877
ALDH1A2	53454
ALDH1A3	38351
ALDH1B1	16273
ALDH1L1	90267
ALDH1L2	41795
ALDH2	81216
ALDH3A1	60983
ALDH3A2	90473
ALDH3B1	79453
ALDH3B2	42428
ALDH4A1	3130
ALDH5A1	62654
ALDH6A1	82004
ALDH8A1	11415
ALDOB	34161
ALDOC	70869
ALG11	44653
ALG12	99522
ALG13	53279
ALG14	71971
ALG2	60869
ALG3	40132
ALG5	36912
ALG6	72174
ALG8	13128
ALK	17099
ALKAL1	54630
ALKAL2	84062
ALKBH1	55121
ALKBH2	94371
ALKBH3	40433
ALKBH4	95776
ALKBH5	18406
ALKBH6	5668
ALKBH7	92679
ALKBH8	6891
ALLC	87379
ALMS1	50896
ALOX12	59854
ALOX15	13767
ALOX15B	73112
ALOX5	75639
ALOX5AP	55969
ALOXE3	33526
ALPI	64374
ALPK1	18672
ALPK2	37002
ALPK3	40253
ALPL	21000
ALS2	73983
ALS2CL	47856
ALX1	29556
ALX3	77562
ALX4	11327
ALYREF	77461
AMACR	3827
AMBN	42084
AMBP	60378
AMBRA1	53668
AMD1	47377
AMDHD1	77843
AMER1	87625
AMER2	95683
AMFR	91847
AMH	96549
AMHR2	79658
AMIGO1	65823
AMIGO2	77752
AMIGO3	41879
AMMECR1	29338
AMMECR1L	62912
AMN1	71083
AMOT	75581
AMOTL1	26029
AMOTL2	7312
AMPD2	31876
AMPD3	98680
AMPH	78226
AMT	15326
AMZ1	30568
AMZ2	46577
ANAPC1	88990
ANAPC10	16735
ANAPC11	8827
ANAPC13	90771
ANAPC15	64918
ANAPC16	43768
ANAPC2	81142
ANAPC4	8333
ANAPC5	70629
ANAPC7	62479
ANGEL1	80693
ANGEL2	15364
ANGPT1	28656
ANGPT2	53164
ANGPT4	81046
ANGPTL1	19364
ANGPTL2	33362
ANGPTL4	25501
ANGPTL5	15889
ANGPTL6	72511
ANGPTL7	82740
ANGPTL8	25621
ANK1	44291
ANK2	89223
ANK3	8322
ANKAR	50760
ANKDD1A	38485
ANKDD1B	10628
ANKEF1	12665
ANKFN1	71462
ANKFY1	23451
ANKH	52881
ANKIB1	39668
ANKK1	8066
ANKLE1	6799
ANKLE2	90359
ANKMY1	48369
ANKMY2	30115
ANKRA2	67132
ANKRD1	8176
ANKRD10	85825
ANKRD11	86142
ANKRD12	67239
ANKRD13A	14235
ANKRD13B	1213
ANKRD13C	71915
ANKRD16	64792
ANKRD17	60882
ANKRD2	97921
ANKRD22	70181
ANKRD24	15039
ANKRD26	73707
ANKRD27	70169
ANKRD28	70775
ANKRD29	73265
ANKRD31	28968
ANKRD33	34406
ANKRD33B	75785
ANKRD34B	10101
ANKRD34C	42589
ANKRD35	25167
ANKRD37	50650
ANKRD39	62864
ANKRD40	84027
ANKRD42	52938
ANKRD44	96845
ANKRD46	85484
ANKRD49	32830
ANKRD50	77068
ANKRD52	78944
ANKRD53	66878
ANKRD54	21771
ANKRD55	4297
ANKRD6	35963
ANKRD60	85962
ANKRD61	19897
ANKRD62	94182
ANKRD63	29266
ANKRD66	18211
ANKRD7	91196
ANKRD9	90861
ANKS1A	78253
ANKS1B	71762
ANKS3	13613
ANKS4B	68604
ANKS6	21101
ANKUB1	58480
ANKZF1	85417
ANLN	12778
ANO1	52268
ANO10	17886
ANO2	75722
ANO3	98535
ANO4	8173
ANO5	87128
ANO6	74654
ANO7	39601
ANO8	66392
ANO9	27696
ANOS1	85212
ANP32B	41150
ANP32E	69880
ANPEP	352
ANTXR1	11173
ANTXR2	23138
ANXA1	84546
ANXA10	32372
ANXA11	29837
ANXA13	56800
ANXA2	19270
ANXA2R	20298
ANXA3	39842
ANXA4	76954
ANXA5	84261
ANXA6	98895
ANXA7	35999
ANXA9	83473
AOAH	66256
AOC2	58005
AOC3	50184
AOPEP	22529
AOX1	57178
AOX2	72306
AOX4	10275
AP1AR	38381
AP1B1	19035
AP1G1	37135
AP1G2	84500
AP1M1	5074
AP1S1	92798
AP1S2	33977
AP1S3	62885
AP2A1	29701
AP2A2	88025
AP2B1	50121
AP2M1	50373
AP2S1	45424
AP3B1	89727
AP3B2	14771
AP3D1	100011
AP3M1	67660
AP3M2	23051
AP3S1	25483
AP4B1	11015
AP4E1	28114
AP4M1	46743
AP4S1	87977
AP5B1	55694
AP5M1	4077
AP5S1	80606
AP5Z1	32648
APAF1	28220
APBA1	6519
APBA2	35012
APBB1	39761
APBB1IP	8860
APBB2	83285
APBB3	31160
APC2	18829
APCDD1	90248
APCDD1L	48714
APEH	25660
APEX1	5002
APEX2	14197
APH1A	59088
APH1B	33913
API5	94884
APIP	13954
APLF	65922
APLNR	30109
APLP1	2688
APLP2	49571
APMAP	53258
APOA1	66993
APOA2	78216
APOA4	26178
APOA5	20342
APOB	34625
APOBEC2	88893
APOBEC3A	68093
APOBEC3C	84260
APOBEC3G	13148
APOBEC3H	64685
APOBR	23149
APOC2	43982
APOD	83915
APOE	4425
APOL1	20133
APOL2	24607
APOL4	61016
APOL5	84268
APOL6	85081
APOLD1	43465
APOM	36648
APOO	9495
APOOL	80899
APOPT1	36784
APP	77281
APPBP2	39373
APPL1	62595
APPL2	29471
APRT	41619
APTX	71051
AQP1	70194
AQP10	8563
AQP11	97416
AQP2	23768
AQP3	49707
AQP4	93296
AQP5	48162
AQP6	65992
AQP7	45537
AQP8	43858
AQP9	65588
AQR	67258
AR	58892
ARAF	97956
ARAP1	29812
ARAP2	97025
ARAP3	6739
ARC	14110
ARCN1	54505
AREG	46456
AREL1	39045
ARF1	55685
ARF3	61833
ARF4	30093
ARF5	6522
ARF6	87589
ARFGAP1	13355
ARFGAP2	62776
ARFGAP3	66750
ARFGEF1	22628
ARFGEF2	32720
ARFGEF3	65929
ARFIP1	49332
ARFIP2	95823
ARFRP1	25715
ARG1	35440
ARG2	40149
ARGLU1	80091
ARHGAP1	78684
ARHGAP10	92932
ARHGAP11A	97537
ARHGAP12	97993
ARHGAP15	67153
ARHGAP17	92426
ARHGAP18	85076
ARHGAP20	95828
ARHGAP21	17943
ARHGAP22	92004
ARHGAP23	18825
ARHGAP24	52395
ARHGAP25	65105
ARHGAP26	80444
ARHGAP27	8469
ARHGAP28	19296
ARHGAP29	100035
ARHGAP30	5172
ARHGAP31	89220
ARHGAP32	69157
ARHGAP33	9058
ARHGAP35	70155
ARHGAP36	34093
ARHGAP39	20595
ARHGAP4	96623
ARHGAP40	40206
ARHGAP42	83013
ARHGAP44	68674
ARHGAP5	24530
ARHGAP6	1995
ARHGAP9	48898
ARHGDIA	67391
ARHGDIB	94029
ARHGDIG	13306
ARHGEF1	14082
ARHGEF10	25551
ARHGEF10L	57173
ARHGEF11	64702
ARHGEF12	90323
ARHGEF15	51009
ARHGEF16	48996
ARHGEF17	19780
ARHGEF19	21935
ARHGEF2	77364
ARHGEF26	16696
ARHGEF28	61510
ARHGEF3	94158
ARHGEF33	2267
ARHGEF37	30810
ARHGEF38	99239
ARHGEF39	15079
ARHGEF40	44559
ARHGEF5	23829
ARHGEF6	78340
ARHGEF7	40038
ARHGEF9	59702
ARID1A	5966
ARID1B	75339
ARID2	185
ARID3A	9269
ARID3B	66416
ARID3C	1540
ARID4A	959
ARID4B	14136
ARID5A	54335
ARID5B	84143
ARIH1	58379
ARIH2	33110
ARIH2OS	86777
ARL1	6537
ARL10	32426
ARL13B	5922
ARL14EP	91472
ARL15	30352
ARL16	17669
ARL2	59455
ARL2BP	9149
ARL3	2709
ARL4C	8275
ARL4D	6391
ARL5A	78409
ARL5B	32803
ARL6	83793
ARL6IP4	37935
ARL6IP5	57044
ARL6IP6	41777
ARL8A	24120
ARL8B	43204
ARL9	56619
ARMC1	77518
ARMC10	24168
ARMC12	78182
ARMC2	46880
ARMC3	96334
ARMC4	27770
ARMC5	70915
ARMC6	31281
ARMC7	79312
ARMC8	99861
ARMC9	42511
ARMCX1	55526
ARMCX4	54465
ARMCX5	88977
ARMCX6	46586
ARMH1	50374
ARMH2	21418
ARMH3	88350
ARMH4	59425
ARMS2	51600
ARNT	3497
ARNT2	22839
ARNTL	40439
ARNTL2	31627
ARPC1A	61799
ARPC1B	80910
ARPC2	95495
ARPC3	17534
ARPC4	8706
ARPC5	68565
ARPC5L	34466
ARPP19	5091
ARPP21	53960
ARR3	20157
ARRB1	15408
ARRB2	11971
ARRDC1	88781
ARRDC2	7702
ARRDC3	50569
ARRDC4	973
ARRDC5	75930
ARSA	2673
ARSB	84703
ARSD	49331
ARSE	14394
ARSF	18470
ARSG	11060
ARSH	89851
ARSI	59156
ARSJ	12110
ARSK	81898
ART1	34755
ART3	94191
ART4	49536
ART5	48736
ARTN	42081
ARV1	16255
ARVCF	29398
ARX	3803
AS3MT	49460
ASAH1	63517
ASAH2	61033
ASAP1	23284
ASAP2	493
ASAP3	33859
ASB1	29906
ASB10	97823
ASB11	35445
ASB12	31583
ASB13	3479
ASB14	62565
ASB16	22983
ASB18	85161
ASB2	35730
ASB3	52247
ASB4	61461
ASB5	23120
ASB6	56059
ASB7	57227
ASB8	56455
ASB9	13219
ASCC1	37389
ASCC2	99454
ASCC3	79889
ASCL1	14417
ASCL2	2229
ASCL5	71260
ASF1A	8825
ASF1B	36578
ASGR1	14611
ASH1L	61751
ASH2L	90494
ASIC1	4348
ASIC2	82898
ASIC3	63539
ASIC4	47472
ASIP	30692
ASL	87086
ASNA1	59279
ASNS	22120
ASPA	37395
ASPDH	32740
ASPG	99900
ASPH	15146
ASPHD1	9136
ASPHD2	8130
ASPM	77941
ASPN	68282
ASPRV1	1117
ASPSCR1	5961
ASRGL1	88966
ASTE1	13000
ASTL	27322
ASTN1	58508
ASTN2	53559
ASXL1	54511
ASXL2	55888
ASXL3	22974
ATAD2	56011
ATAD2B	36650
ATAD5	92373
ATAT1	78004
ATCAY	77159
ATE1	22871
ATF1	93222
ATF2	55353
ATF3	6159
ATF4	83443
ATF5	17774
ATF6	78594
ATF6B	15270
ATF7IP	60328
ATF7IP2	45571
ATG10	14479
ATG101	73340
ATG12	43808
ATG13	47606
ATG14	10034
ATG16L1	73765
ATG16L2	60490
ATG2A	96058
ATG2B	77071
ATG3	43936
ATG4A	58593
ATG4B	21962
ATG4C	65750
ATG4D	13323
ATG5	36201
ATG7	82373
ATG9A	32626
ATG9B	75658
ATIC	90212
ATL1	85234
ATL2	32750
ATL3	91748
ATM	33081
ATMIN	46903
ATN1	30382
ATOH7	43121
ATOH8	40507
ATOX1	72070
ATP10A	51612
ATP10B	28198
ATP10D	83728
ATP11A	44769
ATP11B	52058
ATP11C	85222
ATP12A	74470
ATP13A1	61223
ATP13A2	4267
ATP13A3	38750
ATP13A4	33528
ATP13A5	99594
ATP1A1	91228
ATP1A4	42770
ATP1B1	4186
ATP1B2	90597
ATP1B3	76513
ATP1B4	50762
ATP23	48432
ATP2A1	26260
ATP2A2	87587
ATP2A3	30515
ATP2B1	30296
ATP2B2	7774
ATP2B3	46358
ATP2B4	48781
ATP2C1	47053
ATP2C2	8391
ATP4A	43216
ATP5F1B	90423
ATP5F1C	60415
ATP5F1D	95807
ATP5F1E	74801
ATP5IF1	46057
ATP5MC2	17837
ATP5MC3	21483
ATP5MD	14953
ATP5ME	90379
ATP5PF	52608
ATP6	36033
ATP6AP1	8203
ATP6AP1L	23118
ATP6AP2	92642
ATP6V0A1	81505
ATP6V0A2	76020
ATP6V0A4	66857
ATP6V0B	93268
ATP6V0C	54616
ATP6V0D1	15471
ATP6V0D2	61431
ATP6V0E1	41156
ATP6V0E2	7703
ATP6V1B1	20791
ATP6V1B2	5463
ATP6V1C1	97391
ATP6V1C2	68064
ATP6V1D	27395
ATP6V1E1	55215
ATP6V1E2	10675
ATP6V1F	57374
ATP6V1FNB	74843
ATP6V1G1	44625
ATP6V1H	31764
ATP7A	34639
ATP7B	24850
ATP8	32497
ATP8A1	20007
ATP8A2	28883
ATP8B1	61205
ATP8B2	58291
ATP8B3	96054
ATP8B4	55359
ATP9A	71272
ATP9B	6857
ATPAF1	68562
ATPAF2	78966
ATPSCKMT	74297
ATR	72611
ATRAID	3958
ATRIP	17892
ATRN	80833
ATRNL1	35315
ATRX	30074
ATXN1	67100
ATXN10	49168
ATXN1L	56420
ATXN2	95850
ATXN2L	4266
ATXN3	60190
ATXN7L1	84032
ATXN7L2	75445
ATXN7L3	948
ATXN7L3B	71890
AUH	57360
AUNIP	43087
AUP1	44461
AURKA	95991
AURKAIP1	68626
AURKB	14892
AURKC	49254
AUTS2	28302
AVEN	59859
AVIL	20766
AVL9	28967
AVP	3501
AVPI1	44754
AVPR1A	18531
AVPR1B	58952
AVPR2	40813
AWAT2	42497
AXDND1	76715
AXIN1	9640
AXIN2	9277
AXL	87384
AZGP1	96111
AZI2	90677
AZIN1	54794
AZIN2	24432
AZU1	60265
B2M	6095
B3GALNT2	13203
B3GALT1	8035
B3GALT2	96419
B3GALT5	70938
B3GALT6	31713
B3GAT1	91267
B3GAT2	19160
B3GAT3	98119
B3GLCT	12053
B3GNT10	65830
B3GNT2	28341
B3GNT3	48692
B3GNT4	33263
B3GNT5	18807
B3GNT6	71225
B3GNT7	89267
B3GNT8	81469
B3GNT9	53333
B3GNTL1	70531
B4GALNT1	20152
B4GALNT3	69986
B4GALNT4	11432
B4GALT1	46209
B4GALT2	74687
B4GALT3	66867
B4GALT4	68938
B4GALT5	87022
B4GALT6	27544
B4GALT7	32914
B4GAT1	79388
B9D1	10908
B9D2	2524
BAALC	31542
BAAT	41393
BABAM1	80882
BABAM2	14756
BACE1	25818
BACE2	25783
BACH1	37062
BACH2	74566
BAD	35432
BAG1	23765
BAG2	30418
BAG3	4885
BAG4	98980
BAG5	53106
BAG6	89973
BAHCC1	10973
BAHD1	28525
BAIAP2	97715
BAIAP2L1	85517
BAIAP2L2	43507
BAIAP3	28004
BAK1	69817
BAMBI	47875
BANF1	15252
BANK1	34824
BANP	41152
BAP1	57391
BARD1	63174
BARHL1	6005
BARHL2	32220
BARX2	59057
BASP1	89453
BATF	23519
BATF2	22601
BATF3	40821
BAX	33317
BAZ1A	84765
BAZ1B	26629
BAZ2A	84591
BAZ2B	24429
BBC3	83783
BBOF1	32630
BBOX1	60285
BBS10	89103
BBS2	85287
BBS4	28602
BBS5	90855
BBS7	17566
BBS9	73753
BBX	54781
BCAM	58793
BCAN	79529
BCAP29	2085
BCAP31	68267
BCAR1	88209
BCAR3	67554
BCAS1	91840
BCAS2	49202
BCAS3	67418
BCAS4	16864
BCAT1	92209
BCAT2	65624
BCCIP	5069
BCDIN3D	75347
BCHE	91701
BCKDHA	65568
BCKDHB	5106
BCKDK	242
BCL10	84275
BCL11A	95314
BCL11B	87324
BCL2	70906
BCL2A1	5909
BCL2L1	59500
BCL2L11	67545
BCL2L13	6860
BCL2L14	40505
BCL2L2-PABPN1	9952
BCL3	22360
BCL6	85565
BCL6B	30468
BCL7A	61435
BCL7B	29602
BCL7C	298
BCL9	37117
BCL9L	9147
BCLAF1	41535
BCLAF3	99737
BCO1	8024
BCO2	57831
BCOR	42051
BCORL1	33397
BCR	28255
BCS1L	64396
BDH1	89258
BDH2	33217
BDKRB2	80792
BDNF	47340
BDP1	34925
BEAN1	75117
BECN1	5462
BEGAIN	95589
BEND3	86340
BEND4	73507
BEND5	40576
BEND6	41448
BEND7	48999
BEST1	34315
BEST2	68167
BEST3	90435
BEST4	72157
BET1	5873
BET1L	41998
BEX1	63948
BEX2	79530
BEX3	33027
BEX4	32418
BFAR	47600
BFSP1	94916
BFSP2	8642
BGLAP	35744
BGN	57234
BHLHB9	82193
BHLHE22	86551
BHLHE40	36997
BHLHE41	47391
BHMG1	99697
BHMT	83989
BHMT2	1962
BICC1	27945
BICD1	21796
BICD2	56588
BICDL1	46641
BICDL2	49936
BICRA	28562
BICRAL	28233
BID	68782
BIK	99380
BIN1	22798
BIN2	99769
BIN3	98170
BIRC2	64191
BIRC3	64217
BIRC5	21623
BIRC6	59010
BIRC7	43208
BIVM-ERCC5	61718
BLCAP	54948
BLK	53248
BLM	29876
BLMH	85957
BLNK	49211
BLOC1S2	30066
BLOC1S3	83786
BLOC1S6	43013
BLVRA	79214
BLVRB	71530
BLZF1	65638
BMERB1	30337
BMF	7654
BMP1	14665
BMP10	43308
BMP2	2514
BMP2K	22974
BMP3	33961
BMP4	16738
BMP5	21927
BMP6	16035
BMP7	27721
BMPER	81512
BMPR1A	59347
BMPR1B	58806
BMPR2	82232
BMS1	99705
BMT2	95354
BMX	62534
BNC1	27589
BNC2	54472
BNIP1	31067
BNIP2	31889
BNIP3	25652
BNIP3L	3081
BNIPL	51402
BOC	34937
BOD1	38432
BOD1L1	39657
BOK	60210
BOLA3	64977
BOP1	70478
BORA	3645
BORCS5	36111
BORCS6	19411
BPGM	71238
BPHL	64723
BPI	28704
BPIFA2	86251
BPIFB3	6931
BPIFC	7181
BPNT1	95144
BPTF	819
BRAF	82286
BRAP	25690
BRAT1	91736
BRCA1	7784
BRCA2	2685
BRD1	78252
BRD2	38186
BRD3	13495
BRD3OS	52592
BRD4	89354
BRD7	94338
BRD8	12464
BRD9	18717
BRF1	1755
BRF2	74591
BRI3	80239
BRI3BP	82282
BRICD5	97002
BRINP1	74744
BRINP2	4666
BRINP3	17003
BRIP1	33339
BRIX1	83231
BRMS1	95960
BRMS1L	81635
BROX	90492
BRPF1	72217
BRPF3	71458
BRSK2	37719
BRWD1	40231
BRWD3	18070
BSCL2	22955
BSDC1	6386
BSG	1716
BSN	61093
BSND	93107
BSPH1	81048
BSPRY	77840
BST1	20171
BST2	34327
BTAF1	64524
BTBD1	26757
BTBD10	67819
BTBD11	13780
BTBD16	23714
BTBD17	57287
BTBD18	92181
BTBD19	77233
BTBD2	40954
BTBD3	27088
BTBD6	31681
BTBD7	69176
BTBD8	1675
BTBD9	77807
BTC	18933
BTD	34150
BTF3	94011
BTF3L4	8813
BTG2	40911
BTG3	10124
BTG4	44015
BTK	56872
BTLA	95489
BTN1A1	68970
BTN2A1	43913
BTN3A2	19043
BTNL8	56211
BTNL9	57814
BTRC	63803
BUB1	90100
BUB3	30444
BUD13	63689
BUD23	31114
BUD31	44640
BVES	10953
BYSL	7360
BZW1	24361
BZW2	54915
C10H20orf27	40386
C10orf113	1037
C10orf120	17225
C10orf143	35968
C10orf82	12846
C10orf88	13850
C10orf90	22235
C10orf95	72032
C10orf99	97984
C11H12orf10	77612
C11H12orf56	73318
C11orf16	72003
C11orf21	30289
C11orf40	18431
C11orf42	90110
C11orf52	91493
C11orf53	26717
C11orf54	10125
C11orf58	43933
C11orf65	5699
C11orf68	94648
C11orf71	57482
C11orf74	19180
C11orf80	61797
C11orf86	97748
C11orf88	20127
C11orf94	1434
C11orf95	89440
C11orf96	28408
C11orf97	66732
C12orf29	84968
C12orf4	64221
C12orf40	86047
C12orf42	17972
C12orf43	45818
C12orf45	56301
C12orf49	49352
C12orf50	54407
C12orf54	70147
C12orf57	64643
C12orf66	32556
C12orf71	69561
C12orf73	79448
C12orf74	36699
C12orf75	47846
C12orf76	82848
C12orf81	52012
C13H2orf42	15946
C13orf42	28281
C13orf46	46141
C14H11orf1	30127
C14H11orf49	86465
C14H11orf87	46611
C14orf119	85081
