gene_symbol	logCPM
ALKBH6	10.872722
ALKBH7	11.285769
ALKBH8	4.356148
ALLC	11.761704
ALMS1	11.337266
ALOX12	7.539375
ALOX15	8.082895
ALOX15B	6.303061
ALOX5	7.17481
ALOX5AP	10.963486
ALOXE3	11.57741
ALPI	0.473631
ALPK1	3.051754
ALPK2	9.218037
ALPK3	12.187161
ALPL	2.724121
ALS2	1.749712
ALS2CL	4.485856
ALX1	6.451966
ALX3	6.553174
ALX4	3.254699
ALYREF	10.286965
AMACR	3.42795
AMBN	8.148943
AMBP	8.919819
AMBRA1	2.295521
AMD1	9.788422
AMDHD1	10.95976
AMER1	8.576015
AMER2	2.738135
AMFR	3.635557
AMH	7.82435
AMHR2	7.764521
AMIGO1	0.488705
AMIGO2	4.397337
AMIGO3	8.802328
AMMECR1	5.848611
AMMECR1L	4.026923
AMN1	9.317243
AMOT	10.011191
AMOTL1	4.798194
AMOTL2	10.08755
AMPD2	3.386187
AMPD3	3.588179
AMPH	4.261123
AMT	1.654393
AMZ1	9.725974
AMZ2	12.153308
ANAPC1	3.82548
ANAPC10	11.230186
ANAPC11	1.168623
ANAPC13	3.946118
ANAPC15	0.666552
ANAPC16	8.078496
ANAPC2	4.418781
ANAPC4	6.271252
ANAPC5	2.977986
ANAPC7	2.221832
ANGEL1	0.748014
ANGEL2	4.508087
ANGPT1	4.691078
ANGPT2	3.211128
ANGPT4	8.446501
ANGPTL1	4.001589
ANGPTL2	1.830652
ANGPTL4	11.056899
ANGPTL5	1.185109
ANGPTL6	2.685972
ANGPTL7	9.774905
ANGPTL8	10.560313
ANK1	4.588866
ANK2	1.394908
ANK3	10.019691
ANKAR	11.793654
ANKDD1A	7.082196
ANKDD1B	1.136296
ANKEF1	7.967282
ANKFN1	2.976679
ANKFY1	7.340828
ANKH	2.842411
ANKIB1	0.452245
ANKK1	10.126567
ANKLE1	1.674888
ANKLE2	2.396202
ANKMY1	3.238256
ANKMY2	8.677457
ANKRA2	11.431377
ANKRD1	4.805114
ANKRD10	1.659333
ANKRD11	1.10566
ANKRD12	3.550862
ANKRD13A	5.762825
ANKRD13B	4.657308
ANKRD13C	10.241591
ANKRD16	5.491371
ANKRD17	8.192519
ANKRD2	5.724998
ANKRD22	7.377707
ANKRD24	7.301319
ANKRD26	5.181206
ANKRD27	10.099232
ANKRD28	6.569398
ANKRD29	6.359193
ANKRD31	11.779591
ANKRD33	2.763119
ANKRD33B	6.798048
ANKRD34B	10.827669
ANKRD34C	6.337179
ANKRD35	3.043104
ANKRD37	11.951826
ANKRD39	9.561989
ANKRD40	11.871948
ANKRD42	12.22332
ANKRD44	1.868743
ANKRD46	4.124069
ANKRD49	4.345556
ANKRD50	6.232069
ANKRD52	11.071567
ANKRD53	11.853932
ANKRD54	4.618955
ANKRD55	10.835028
ANKRD6	7.335256
ANKRD60	10.363702
ANKRD61	6.446866
ANKRD62	2.090743
ANKRD63	1.81347
ANKRD66	8.094344
ANKRD7	0.787419
ANKRD9	5.248525
ANKS1A	7.748196
ANKS1B	9.665627
ANKS3	11.118487
ANKS4B	4.996546
ANKS6	11.726927
ANKUB1	9.124784
ANKZF1	1.431322
ANLN	7.818557
ANO1	6.808911
ANO10	8.945655
ANO2	4.615343
ANO3	3.833268
ANO4	9.961614
ANO5	1.563216
ANO6	12.039019
ANO7	9.797517
ANO8	2.610689
ANO9	6.886273
ANOS1	10.6873
ANP32B	11.283796
ANP32E	10.513204
ANPEP	7.554055
ANTXR1	5.647453
ANTXR2	1.519455
ANXA1	2.632415
ANXA10	5.062401
ANXA11	11.08954
ANXA13	4.304991
ANXA2	7.875975
ANXA2R	1.682985
ANXA3	9.21521
ANXA4	3.552259
ANXA5	5.24442
ANXA6	4.485355
ANXA7	10.009072
ANXA9	11.581013
AOAH	10.983708
AOC2	4.569229
AOC3	10.895346
AOPEP	10.683952
AOX1	10.860394
AOX2	11.648624
AOX4	4.773106
AP1AR	6.829664
AP1B1	6.443669
AP1G1	7.928939
AP1G2	3.281844
AP1M1	2.597244
AP1S1	5.872635
AP1S2	1.222454
AP1S3	7.680317
AP2A1	7.320116
AP2A2	10.478881
AP2B1	4.172582
AP2M1	1.265846
AP2S1	4.229891
AP3B1	6.149961
AP3B2	6.470855
AP3D1	5.415904
AP3M1	9.084223
AP3M2	5.219695
AP3S1	2.02734
AP4B1	10.875272
AP4E1	1.328378
AP4M1	9.452188
AP4S1	3.513902
AP5B1	1.852787
AP5M1	4.060538
AP5S1	0.846508
AP5Z1	8.92731
APAF1	0.750831
APBA1	11.396054
APBA2	1.392435
APBB1	8.493298
APBB1IP	2.742874
APBB2	4.434487
APBB3	11.928839
APC2	6.31371
APCDD1	5.249208
APCDD1L	10.589424
APEH	12.227053
APEX1	1.239475
APEX2	7.229436
APH1A	7.452602
APH1B	1.775314
API5	5.181329
APIP	3.68435
APLF	10.422338
APLNR	8.760028
APLP1	7.326362
APLP2	7.904054
APMAP	0.850539
APOA1	3.962377
APOA2	8.794644
APOA4	10.333372
APOA5	6.192557
APOB	1.224589
APOBEC2	11.184823
APOBEC3A	2.567397
APOBEC3C	8.761802
APOBEC3G	11.695401
APOBEC3H	5.927956
APOBR	3.625602
APOC2	6.939242
APOD	0.415604
APOE	6.24972
APOL1	1.696221
APOL2	2.171045
APOL4	0.985414
APOL5	9.919092
APOL6	3.148208
APOLD1	9.695015
APOM	5.872761
APOO	6.340863
APOOL	9.112125
APOPT1	2.961782
APP	5.390829
APPBP2	11.746643
APPL1	4.325613
APPL2	9.705857
APRT	6.600642
APTX	8.079821
AQP1	6.154854
AQP10	2.943908
AQP11	8.642212
AQP2	11.032159
AQP3	6.853467
AQP4	4.570443
AQP5	9.879608
AQP6	8.890446
AQP7	10.136529
AQP8	5.365585
AQP9	6.955745
AQR	2.484348
AR	2.819944
ARAF	5.672896
ARAP1	8.858765
ARAP2	8.296409
ARAP3	3.155036
ARC	3.790772
ARCN1	0.375783
AREG	2.606397
AREL1	2.341103
ARF1	5.822886
ARF3	11.67983
ARF4	6.904478
ARF5	11.454302
ARF6	11.300856
ARFGAP1	0.65522
ARFGAP2	11.509915
ARFGAP3	8.952436
ARFGEF1	3.066428
ARFGEF2	1.567475
ARFGEF3	6.234035
ARFIP1	4.877369
ARFIP2	11.777363
ARFRP1	12.131425
ARG1	3.544434
ARG2	6.826306
ARGLU1	5.263762
ARHGAP1	8.202467
ARHGAP10	2.876276
ARHGAP11A	8.764808
ARHGAP12	8.289597
ARHGAP15	7.261459
ARHGAP17	7.258934
ARHGAP18	9.62519
ARHGAP20	10.134464
ARHGAP21	0.32365
ARHGAP22	10.503849
ARHGAP23	7.519381
ARHGAP24	1.749735
ARHGAP25	9.164348
ARHGAP26	3.609882
ARHGAP27	4.255325
ARHGAP28	5.730678
ARHGAP29	11.296108
ARHGAP30	8.946146
ARHGAP31	9.517247
ARHGAP32	10.64014
ARHGAP33	12.160092
ARHGAP35	7.833065
ARHGAP36	1.434434
ARHGAP39	7.41255
ARHGAP4	11.277106
ARHGAP40	8.407413
ARHGAP42	10.984102
ARHGAP44	6.819667
ARHGAP5	4.034016
ARHGAP6	5.568809
ARHGAP9	4.63949
ARHGDIA	11.679451
ARHGDIB	2.628637
ARHGDIG	10.221153
ARHGEF1	3.90081
ARHGEF10	8.336027
ARHGEF10L	1.990529
ARHGEF11	11.41148
ARHGEF12	2.944532
ARHGEF15	1.681349
ARHGEF16	12.028129
ARHGEF17	3.909525
ARHGEF19	7.864216
ARHGEF2	3.950853
ARHGEF26	10.076403
ARHGEF28	8.223655
ARHGEF3	8.719261
ARHGEF33	6.195889
ARHGEF37	3.518443
ARHGEF38	7.310147
ARHGEF39	6.080359
ARHGEF40	3.884297
ARHGEF5	7.619871
ARHGEF6	4.359793
ARHGEF7	5.407058
ARHGEF9	2.732909
ARID1A	6.960761
ARID1B	8.110165
ARID2	8.03227
ARID3A	1.579453
ARID3B	4.356199
ARID3C	0.837999
ARID4A	6.20925
ARID4B	1.222539
ARID5A	1.787747
ARID5B	3.627632
ARIH1	5.8913
ARIH2	7.198656
ARIH2OS	9.796119
ARL1	8.955349
ARL10	5.984764
ARL13B	0.333617
ARL14EP	2.777241
ARL15	8.545489
ARL16	8.764578
ARL2	9.609505
ARL2BP	5.061965
ARL3	11.380249
ARL4C	3.814143
ARL4D	3.517791
ARL5A	5.948839
ARL5B	3.019936
ARL6	10.084735
ARL6IP4	4.256271
ARL6IP5	8.839257
ARL6IP6	0.87876
ARL8A	8.92622
ARL8B	4.079967
ARL9	6.137015
ARMC1	0.940633
ARMC10	12.19432
ARMC12	0.689832
ARMC2	6.502465
ARMC3	9.966933
ARMC4	3.662489
ARMC5	0.879236
ARMC6	10.765315
ARMC7	11.855682
ARMC8	3.258875
ARMC9	11.480716
ARMCX1	11.623149
ARMCX4	4.393522
ARMCX5	3.628557
ARMCX6	10.284242
ARMH1	0.312579
ARMH2	7.305583
ARMH3	8.173105
ARMH4	1.174515
ARMS2	3.646383
ARNT	8.336966
ARNT2	8.081873
ARNTL	3.217838
ARNTL2	4.996681
ARPC1A	0.380649
ARPC1B	4.876014
ARPC2	4.190423
ARPC3	5.547176
ARPC4	11.281725
ARPC5	6.584063
ARPC5L	8.108913
ARPP19	3.965797
ARPP21	5.577871
ARR3	4.429897
ARRB1	8.988183
ARRB2	3.580627
ARRDC1	5.977519
ARRDC2	0.458939
ARRDC3	2.149417
ARRDC4	5.971773
ARRDC5	1.373099
ARSA	8.521183
ARSB	6.32086
ARSD	6.755932
ARSE	8.129753
ARSF	5.139735
ARSG	11.896659
ARSH	4.938025
ARSI	8.171904
ARSJ	4.361338
ARSK	1.523255
ART1	5.610921
ART3	3.925143
ART4	12.01223
ART5	5.485472
ARTN	3.793647
ARV1	3.656296
ARVCF	0.691421
ARX	0.979035
AS3MT	5.471812
ASAH1	0.961644
ASAH2	2.35562
ASAP1	6.424852
ASAP2	7.015943
ASAP3	1.225137
ASB1	7.917786
ASB10	12.122857
ASB11	8.872879
ASB12	9.309632
ASB13	1.947937
ASB14	11.075707
ASB16	12.21844
ASB18	11.774713
ASB2	6.060619
ASB3	2.916422
ASB4	3.384613
ASB5	0.56214
ASB6	0.931941
ASB7	7.11099
ASB8	6.832083
ASB9	10.193189
ASCC1	5.949373
ASCC2	10.099252
ASCC3	12.229994
ASCL1	10.128919
ASCL2	8.968591
ASCL5	11.715793
ASF1A	9.720133
ASF1B	9.305751
ASGR1	8.057521
ASH1L	7.609489
ASH2L	9.171171
ASIC1	7.773047
ASIC2	10.930096
ASIC3	10.954827
ASIC4	10.896694
ASIP	2.901319
ASL	9.545893
ASNA1	1.449515
ASNS	3.392054
ASPA	9.439689
ASPDH	8.451404
ASPG	1.871366
ASPH	2.761713
ASPHD1	1.637867
ASPHD2	4.653405
ASPM	11.383861
ASPN	4.738258
ASPRV1	1.373094
ASPSCR1	1.724263
ASRGL1	7.888064
ASTE1	11.890182
ASTL	4.257583
ASTN1	1.236378
ASTN2	9.854144
ASXL1	9.240447
ASXL2	2.835618
ASXL3	11.723097
ATAD2	11.695572
ATAD2B	0.723817
ATAD5	7.867112
ATAT1	1.0459
ATCAY	1.700525
ATE1	6.062133
ATF1	6.232098
ATF2	5.278052
ATF3	10.681168
ATF4	6.161412
ATF5	1.406626
ATF6	6.208806
ATF6B	8.031341
ATF7IP	3.092896
ATF7IP2	9.665575
ATG10	5.441595
ATG101	2.19613
ATG12	7.088035
ATG13	6.177339
ATG14	7.137982
ATG16L1	9.275472
ATG16L2	1.95414
ATG2A	7.644829
ATG2B	7.059876
ATG3	2.963922
ATG4A	3.285292
ATG4B	5.270918
ATG4C	4.953409
ATG4D	8.311098
ATG5	6.712523
ATG7	11.013276
ATG9A	8.024321
ATG9B	8.814246
ATIC	0.25165
ATL1	4.268205
ATL2	3.24675
ATL3	1.875419
ATM	1.950018
ATMIN	9.910643
ATN1	2.857975
ATOH7	5.689403
ATOH8	10.441853
ATOX1	1.56947
ATP10A	2.36913
ATP10B	3.681377
ATP10D	8.907658
ATP11A	3.455861
ATP11B	8.691014
ATP11C	3.18798
ATP12A	7.527269
ATP13A1	10.485147
ATP13A2	0.396757
ATP13A3	1.994448
ATP13A4	9.448406
ATP13A5	8.060367
ATP1A1	3.976499
ATP1A4	4.147226
ATP1B1	5.260118
ATP1B2	2.134649
ATP1B3	12.181992
ATP1B4	12.005912
ATP23	9.209642
ATP2A1	5.192567
ATP2A2	3.010297
ATP2A3	12.198229
ATP2B1	10.113161
ATP2B2	8.485729
ATP2B3	8.609458
ATP2B4	7.91576
ATP2C1	2.627115
ATP2C2	7.5354
ATP4A	1.599055
ATP5F1B	1.509121
ATP5F1C	5.697463
ATP5F1D	5.766363
ATP5F1E	11.539174
ATP5IF1	3.697212
ATP5MC2	4.951175
ATP5MC3	0.714888
ATP5MD	6.659719
ATP5ME	12.020857
ATP5PF	8.976646
ATP6	9.157223
ATP6AP1	0.529328
ATP6AP1L	7.206063
ATP6AP2	7.145889
ATP6V0A1	8.042835
ATP6V0A2	6.207712
ATP6V0A4	11.331138
ATP6V0B	9.539773
ATP6V0C	10.696045
ATP6V0D1	7.331296
ATP6V0D2	7.783096
ATP6V0E1	8.179861
ATP6V0E2	7.924943
ATP6V1B1	1.260277
ATP6V1B2	6.769115
ATP6V1C1	9.736007
ATP6V1C2	9.950206
ATP6V1D	5.636721
ATP6V1E1	2.706304
ATP6V1E2	9.13797
ATP6V1F	11.097361
ATP6V1FNB	11.05193
ATP6V1G1	0.658063
ATP6V1H	3.175371
ATP7A	10.866852
ATP7B	5.923473
ATP8	7.352013
ATP8A1	4.013873
ATP8A2	4.373166
ATP8B1	7.524174
ATP8B2	9.868414
ATP8B3	9.165252
ATP8B4	10.378364
ATP9A	3.570915
ATP9B	5.432589
ATPAF1	5.304539
ATPAF2	7.559969
ATPSCKMT	10.231283
ATR	5.022393
ATRAID	4.871892
ATRIP	3.555249
ATRN	2.617223
ATRNL1	0.519384
ATRX	7.410674
ATXN1	3.134114
ATXN10	7.726769
ATXN1L	0.729987
ATXN2	3.791962
ATXN2L	7.031029
ATXN3	9.529712
ATXN7L1	9.392097
ATXN7L2	0.996931
ATXN7L3	7.682518
ATXN7L3B	7.721675
AUH	2.957509
AUNIP	2.043264
AUP1	5.495735
AURKA	1.446331
AURKAIP1	5.416349
AURKB	5.76439
AURKC	6.332182
AUTS2	3.730179
AVEN	6.733815
AVIL	6.025977
AVL9	8.209487
AVP	0.859982
AVPI1	2.419612
AVPR1A	2.196454
AVPR1B	6.439249
AVPR2	1.134322
AWAT2	1.926307
AXDND1	11.717704
AXIN1	1.380921
AXIN2	10.262524
AXL	2.882429
AZGP1	5.725869
AZI2	6.279526
AZIN1	10.58145
AZIN2	3.672265
AZU1	7.892533
B2M	2.339274
B3GALNT2	10.136892
B3GALT1	4.634386
B3GALT2	6.641899
B3GALT5	5.912547
B3GALT6	0.732321
B3GAT1	10.870664
B3GAT2	8.872013
B3GAT3	4.235112
B3GLCT	6.203809
B3GNT10	7.57935
B3GNT2	1.333635
B3GNT3	8.322201
B3GNT4	7.7771
B3GNT5	7.10728
B3GNT6	5.733687
B3GNT7	6.15472
B3GNT8	3.934364
B3GNT9	9.392051
B3GNTL1	6.852799
B4GALNT1	5.801868
B4GALNT3	8.53507
B4GALNT4	1.950495
B4GALT1	6.884184
B4GALT2	3.158438
B4GALT3	5.739011
B4GALT4	9.27885
B4GALT5	12.03042
B4GALT6	5.727858
B4GALT7	5.567475
B4GAT1	2.058357
B9D1	10.891376
B9D2	1.537388
BAALC	10.88371
BAAT	10.323888
BABAM1	6.76369
BABAM2	3.44561
BACE1	4.719431
BACE2	5.452988
BACH1	2.690981
BACH2	1.860473
BAD	9.16925
BAG1	1.345816
BAG2	8.278464
BAG3	8.594801
BAG4	8.604073
BAG5	11.266505
BAG6	8.891623
BAHCC1	7.847789
BAHD1	4.087758
BAIAP2	11.581569
BAIAP2L1	11.351559
BAIAP2L2	5.291103
BAIAP3	8.860316
BAK1	5.450623
BAMBI	6.635232
BANF1	9.968096
BANK1	6.998844
BANP	8.894198
BAP1	6.1395
BARD1	11.721148
BARHL1	10.204217
BARHL2	1.035465
BARX2	11.047361
BASP1	7.373825
BATF	8.134564
BATF2	9.913468
BATF3	10.642803
BAX	0.9592
BAZ1A	12.199695
BAZ1B	7.693837
BAZ2A	9.122105
BAZ2B	4.438829
BBC3	10.163849
BBOF1	3.395404
BBOX1	2.939261
BBS10	2.578542
BBS2	8.084255
