Gene stable ID	Gene name	Human gene stable ID	Human gene name	Human homology type	Human orthology confidence [0 low, 1 high]
ENSMFAG00000009013	Metazoa_SRP	ENSG00000239560	RN7SL479P	ortholog_one2one	1
ENSMFAG00000051235					
ENSMFAG00000036601	RCC2	ENSG00000179051	RCC2	ortholog_one2one	1
ENSMFAG00000062128					
ENSMFAG00000017312	U6	ENSG00000212257	RNU6-1176P	ortholog_one2one	1
ENSMFAG00000034575	MYNN	ENSG00000085274	MYNN	ortholog_one2one	1
ENSMFAG00000047304					
ENSMFAG00000018627	GJA5	ENSG00000265107	GJA5	ortholog_one2one	1
ENSMFAG00000058848					
ENSMFAG00000035079	U6	ENSG00000223306	RNU6-1304P	ortholog_one2one	1
ENSMFAG00000048828	Metazoa_SRP				
ENSMFAG00000001270	WARS2	ENSG00000116874	WARS2	ortholog_one2one	1
ENSMFAG00000057531					
ENSMFAG00000053574					
ENSMFAG00000054572					
ENSMFAG00000035168	IL24	ENSG00000162892	IL24	ortholog_one2one	1
ENSMFAG00000058630					
ENSMFAG00000048380					
ENSMFAG00000053404					
ENSMFAG00000013728	Metazoa_SRP	ENSG00000277762	RN7SL261P	ortholog_one2one	1
ENSMFAG00000053169					
ENSMFAG00000043364	C1orf174	ENSG00000198912	C1orf174	ortholog_one2one	1
ENSMFAG00000062047					
ENSMFAG00000011650	MIR30E	ENSG00000198974	MIR30E	ortholog_one2one	1
ENSMFAG00000000647	PLCL2	ENSG00000154822	PLCL2	ortholog_one2one	1
ENSMFAG00000051895					
ENSMFAG00000046150	CRTC2	ENSG00000160741	CRTC2	ortholog_one2one	1
ENSMFAG00000035463	SLC5A9	ENSG00000117834	SLC5A9	ortholog_one2one	1
ENSMFAG00000000624	CACYBP	ENSG00000116161	CACYBP	ortholog_one2many	1
ENSMFAG00000055533					
ENSMFAG00000042415	BLZF1	ENSG00000117475	BLZF1	ortholog_one2one	1
ENSMFAG00000049045					
ENSMFAG00000040797	SH2D1B	ENSG00000198574	SH2D1B	ortholog_one2one	1
ENSMFAG00000062594					
ENSMFAG00000063016					
ENSMFAG00000064508					
ENSMFAG00000033134	TMEM59	ENSG00000116209	TMEM59	ortholog_one2one	1
ENSMFAG00000051074					
ENSMFAG00000056651	Metazoa_SRP				
ENSMFAG00000065845					
ENSMFAG00000062997					
ENSMFAG00000001539	DFFB	ENSG00000169598	DFFB	ortholog_one2one	1
ENSMFAG00000053229	Metazoa_SRP				
ENSMFAG00000051694					
ENSMFAG00000054918					
ENSMFAG00000018166	LAMTOR2	ENSG00000116586	LAMTOR2	ortholog_one2one	1
ENSMFAG00000061568	snoU13	ENSG00000238761		ortholog_one2one	1
ENSMFAG00000001280	TXNRD3	ENSG00000197763	TXNRD3	ortholog_one2one	1
ENSMFAG00000044269	TBX15	ENSG00000092607	TBX15	ortholog_one2one	1
ENSMFAG00000049463					
ENSMFAG00000046094	OSBPL10	ENSG00000144645	OSBPL10	ortholog_one2one	1
ENSMFAG00000002737	SH3BP5L	ENSG00000175137	SH3BP5L	ortholog_one2one	1
ENSMFAG00000041889	CFAP45	ENSG00000213085	CFAP45	ortholog_one2one	1
ENSMFAG00000048127					
ENSMFAG00000051910					
ENSMFAG00000005783	U6				
ENSMFAG00000053218					
ENSMFAG00000004539		ENSG00000128789	PSMG2	ortholog_one2many	1
ENSMFAG00000031011	ARHGEF26	ENSG00000114790	ARHGEF26	ortholog_one2one	1
ENSMFAG00000048370					
ENSMFAG00000062754	Metazoa_SRP				
ENSMFAG00000065396	Metazoa_SRP				
ENSMFAG00000037492	DENND4B	ENSG00000198837	DENND4B	ortholog_one2one	1
ENSMFAG00000047454					
ENSMFAG00000002406	DAZL	ENSG00000092345	DAZL	ortholog_one2one	1
ENSMFAG00000042773		ENSG00000239887	C1orf226	ortholog_one2one	0
ENSMFAG00000048388		ENSG00000120333	MRPS14	ortholog_one2many	1
ENSMFAG00000061558	Metazoa_SRP				
ENSMFAG00000065416					
ENSMFAG00000033129	FCMR	ENSG00000162894	FCMR	ortholog_one2one	1
ENSMFAG00000002560	PADI6	ENSG00000276747	PADI6	ortholog_one2one	1
ENSMFAG00000060505					
ENSMFAG00000030982	MSL2	ENSG00000174579	MSL2	ortholog_one2one	1
ENSMFAG00000041326	CCDC181	ENSG00000117477	CCDC181	ortholog_one2one	1
ENSMFAG00000054487					
ENSMFAG00000049130					
ENSMFAG00000032527	FANCD2	ENSG00000144554	FANCD2	ortholog_one2one	1
ENSMFAG00000021295	Y_RNA	ENSG00000206659	Y_RNA	ortholog_one2one	1
ENSMFAG00000056104					
ENSMFAG00000003493	JAK1	ENSG00000162434	JAK1	ortholog_one2one	1
ENSMFAG00000036309					
ENSMFAG00000053487	Metazoa_SRP				
ENSMFAG00000049065					
ENSMFAG00000063595					
ENSMFAG00000000974	LAMC2	ENSG00000058085	LAMC2	ortholog_one2one	1
ENSMFAG00000063814					
ENSMFAG00000061193					
ENSMFAG00000002615	LRRC34	ENSG00000171757	LRRC34	ortholog_one2one	1
ENSMFAG00000053417					
ENSMFAG00000043409	SPAG17	ENSG00000155761	SPAG17	ortholog_one2one	1
ENSMFAG00000065730	Metazoa_SRP				
ENSMFAG00000052252					
ENSMFAG00000003658					
ENSMFAG00000058580					
ENSMFAG00000008832	U1	ENSG00000201170	RNU1-132P	ortholog_one2one	1
ENSMFAG00000061451					
ENSMFAG00000024078					
ENSMFAG00000050368					
ENSMFAG00000061343	snoU13				
ENSMFAG00000042345	GATAD2B	ENSG00000143614	GATAD2B	ortholog_one2one	1
ENSMFAG00000042062	LDLRAD1	ENSG00000203985	LDLRAD1	ortholog_one2one	1
ENSMFAG00000043580	RFTN1	ENSG00000131378	RFTN1	ortholog_one2one	1
ENSMFAG00000060295					
ENSMFAG00000046287	ACP6	ENSG00000162836	ACP6	ortholog_one2one	1
ENSMFAG00000003273	VSIG8	ENSG00000243284	VSIG8	ortholog_one2one	1
ENSMFAG00000039988	SLC19A2	ENSG00000117479	SLC19A2	ortholog_one2one	1
ENSMFAG00000034570	WDR3	ENSG00000065183	WDR3	ortholog_one2one	1
ENSMFAG00000038611	PIGR	ENSG00000162896	PIGR	ortholog_one2one	1
ENSMFAG00000003902	TRABD2B	ENSG00000269113	TRABD2B	ortholog_one2one	1
ENSMFAG00000001813	TNN	ENSG00000120332	TNN	ortholog_one2one	1
ENSMFAG00000011773	U6				
ENSMFAG00000053700					
ENSMFAG00000000702	SLC6A9	ENSG00000196517	SLC6A9	ortholog_one2one	1
ENSMFAG00000060396					
ENSMFAG00000002047	KCND3	ENSG00000171385	KCND3	ortholog_one2one	1
ENSMFAG00000038232	FANCD2OS	ENSG00000163705	FANCD2OS	ortholog_one2one	1
ENSMFAG00000042126	MIGA1	ENSG00000180488	MIGA1	ortholog_one2one	1
ENSMFAG00000050326					
ENSMFAG00000040060	SSR2	ENSG00000163479	SSR2	ortholog_one2one	1
ENSMFAG00000031436	RAVER2	ENSG00000162437	RAVER2	ortholog_one2one	1
ENSMFAG00000039214	SPATA46	ENSG00000171722	SPATA46	ortholog_one2one	1
ENSMFAG00000000508	LYPD8	ENSG00000259823	LYPD8	ortholog_one2one	1
ENSMFAG00000030906	PADI4	ENSG00000159339	PADI4	ortholog_one2one	1
ENSMFAG00000021183	SNORD64	ENSG00000212161		ortholog_one2one	1
ENSMFAG00000049115					
ENSMFAG00000032288	DHX36	ENSG00000174953	DHX36	ortholog_one2one	1
ENSMFAG00000062122	BRK1	ENSG00000254999	BRK1	ortholog_one2one	1
ENSMFAG00000003422					
ENSMFAG00000048409					
ENSMFAG00000033658	LRRIQ4	ENSG00000188306	LRRIQ4	ortholog_one2one	1
ENSMFAG00000000945	FCAMR	ENSG00000162897	FCAMR	ortholog_one2one	1
ENSMFAG00000002641	SRP9	ENSG00000143742	SRP9	ortholog_one2one	1
ENSMFAG00000059158	Y_RNA				
ENSMFAG00000058746					
ENSMFAG00000065340	Metazoa_SRP				
ENSMFAG00000053195					
ENSMFAG00000039610	EFCAB2	ENSG00000203666	DRC8	ortholog_one2one	1
ENSMFAG00000045882	GDAP2	ENSG00000196505	GDAP2	ortholog_one2one	1
ENSMFAG00000062867	MIR556	ENSG00000207729	MIR556	ortholog_one2one	1
ENSMFAG00000062172	snoU13				
ENSMFAG00000037149					
ENSMFAG00000031755	DDX20	ENSG00000064703	DDX20	ortholog_one2one	1
ENSMFAG00000043762	BCL9	ENSG00000116128	BCL9	ortholog_one2one	1
ENSMFAG00000032848	C3orf22	ENSG00000180697	C3orf22	ortholog_one2one	1
ENSMFAG00000060387					
ENSMFAG00000036770	RIMS3	ENSG00000117016	RIMS3	ortholog_one2one	1
ENSMFAG00000062592	snoU13				
ENSMFAG00000063113					
ENSMFAG00000042386	SLC27A3	ENSG00000143554	SLC27A3	ortholog_one2one	1
ENSMFAG00000045747	F5	ENSG00000198734	F5	ortholog_one2one	1
ENSMFAG00000063660					
ENSMFAG00000041467	CEP104	ENSG00000116198	CEP104	ortholog_one2one	1
ENSMFAG00000040572					
ENSMFAG00000040313	OLFML2B	ENSG00000162745	OLFML2B	ortholog_one2one	1
ENSMFAG00000043666	OXNAD1	ENSG00000154814	OXNAD1	ortholog_one2one	1
ENSMFAG00000026265	CCDC24	ENSG00000159214	CCDC24	ortholog_one2one	1
ENSMFAG00000044324	SLAMF8	ENSG00000158714	SLAMF8	ortholog_one2one	1
ENSMFAG00000051570					
ENSMFAG00000050967	C1orf116	ENSG00000182795	C1orf116	ortholog_one2one	1
ENSMFAG00000051325	Metazoa_SRP				
ENSMFAG00000057430					
ENSMFAG00000037670	CACHD1	ENSG00000158966	CACHD1	ortholog_one2one	1
ENSMFAG00000059286	Metazoa_SRP				
ENSMFAG00000004822	SNORA40	ENSG00000212266		ortholog_one2one	1
ENSMFAG00000051710	KIAA0040	ENSG00000235750	KIAA0040	ortholog_one2one	1
ENSMFAG00000005303	U6	ENSG00000251754	RNU6-999P	ortholog_one2one	1
ENSMFAG00000000457	PCCB	ENSG00000114054	PCCB	ortholog_one2one	1
ENSMFAG00000042908	B4GALT2	ENSG00000117411	B4GALT2	ortholog_one2one	1
ENSMFAG00000059847	U6	ENSG00000206763	RNU6-10P	ortholog_one2many	0
ENSMFAG00000061328	VHL	ENSG00000134086	VHL	ortholog_one2one	1
ENSMFAG00000055778	Y_RNA	ENSG00000207209	Y_RNA	ortholog_one2one	1
ENSMFAG00000032747	LRRC42	ENSG00000116212	LRRC42	ortholog_one2one	1
ENSMFAG00000059605					
ENSMFAG00000003366	LRRC31	ENSG00000114248	LRRC31	ortholog_one2one	1
ENSMFAG00000063788	snoU13	ENSG00000271922		ortholog_one2one	1
ENSMFAG00000042527	PADI3	ENSG00000142619	PADI3	ortholog_one2one	1
ENSMFAG00000043841	NMNAT2	ENSG00000157064	NMNAT2	ortholog_one2one	1
ENSMFAG00000050845					
ENSMFAG00000063452	TENT5C	ENSG00000183508	TENT5C	ortholog_one2one	1
ENSMFAG00000047552					
ENSMFAG00000059171	U6	ENSG00000252282	RNU6-1089P	ortholog_one2one	1
ENSMFAG00000055177					
ENSMFAG00000053741					
ENSMFAG00000030860	GPR149	ENSG00000174948	GPR149	ortholog_one2one	1
ENSMFAG00000058078					
ENSMFAG00000008338	INTS3	ENSG00000143624	INTS3	ortholog_one2one	1
ENSMFAG00000034820	U6	ENSG00000252073	RNU6-947P	ortholog_one2one	1
ENSMFAG00000065312					
ENSMFAG00000049847	OR2T27	ENSG00000187701	OR2T27	ortholog_one2one	1
ENSMFAG00000054328					
ENSMFAG00000061199					
ENSMFAG00000038293	INKA2	ENSG00000197852	INKA2	ortholog_one2one	1
ENSMFAG00000062544					
ENSMFAG00000053063	Metazoa_SRP				
ENSMFAG00000050468					
ENSMFAG00000051060	Metazoa_SRP				
ENSMFAG00000056659		ENSG00000177151	OR2T35	ortholog_many2many	1
ENSMFAG00000056659		ENSG00000196240	OR2T2	ortholog_many2many	1
ENSMFAG00000039504		ENSG00000243709	LEFTY1	ortholog_one2many	1
ENSMFAG00000039504		ENSG00000143768	LEFTY2	ortholog_one2many	1
ENSMFAG00000060692					
ENSMFAG00000063059					
ENSMFAG00000059314	ATF6	ENSG00000118217	ATF6	ortholog_one2one	1
ENSMFAG00000054431					
ENSMFAG00000053906	Metazoa_SRP				
ENSMFAG00000039633	MME	ENSG00000196549	MME	ortholog_one2one	1
ENSMFAG00000046258	PADI1	ENSG00000142623	PADI1	ortholog_one2one	1
ENSMFAG00000039185					
ENSMFAG00000042171	MAN1A2	ENSG00000198162	MAN1A2	ortholog_one2one	1
ENSMFAG00000041915	PFKFB2	ENSG00000123836	PFKFB2	ortholog_one2one	1
ENSMFAG00000002038	IRAK2	ENSG00000134070	IRAK2	ortholog_one2one	1
ENSMFAG00000035854	CMPK1	ENSG00000162368	CMPK1	ortholog_one2many	1
ENSMFAG00000054705	U7	ENSG00000238653	RNU7-62P	ortholog_one2one	1
ENSMFAG00000000391	IFT25	ENSG00000081870	IFT25	ortholog_one2one	1
ENSMFAG00000035099					
ENSMFAG00000000321	ZNF684	ENSG00000117010	ZNF684	ortholog_one2one	1
ENSMFAG00000043562	CHD1L	ENSG00000131778	CHD1L	ortholog_one2one	1
ENSMFAG00000034906	ARHGEF2	ENSG00000116584	ARHGEF2	ortholog_one2one	1
ENSMFAG00000045730	LRRC47	ENSG00000130764	LRRC47	ortholog_one2one	1
ENSMFAG00000034202	RAP1A	ENSG00000116473	RAP1A	ortholog_one2one	1
ENSMFAG00000041705	STT3B	ENSG00000163527	STT3B	ortholog_one2one	1
ENSMFAG00000063996	Metazoa_SRP				
ENSMFAG00000061966	Metazoa_SRP				
ENSMFAG00000048289	snoU13				
ENSMFAG00000050902	DPH2	ENSG00000132768	DPH2	ortholog_one2one	1
ENSMFAG00000031760	PYCR2	ENSG00000143811	PYCR2	ortholog_one2many	1
ENSMFAG00000055521					
ENSMFAG00000065457	Metazoa_SRP				
ENSMFAG00000051813					
ENSMFAG00000059473	Y_RNA	ENSG00000199565	Y_RNA	ortholog_one2one	1
ENSMFAG00000063284					
ENSMFAG00000056532					
ENSMFAG00000052262					
ENSMFAG00000039645	STRIT1	ENSG00000240045	STRIT1	ortholog_one2one	1
ENSMFAG00000063078	U6				
ENSMFAG00000024825	UBE2U	ENSG00000177414	UBE2U	ortholog_one2one	1
ENSMFAG00000042232	UROC1	ENSG00000159650	UROC1	ortholog_one2one	1
ENSMFAG00000036068	SELP	ENSG00000174175	SELP	ortholog_one2one	1
ENSMFAG00000009068	Metazoa_SRP	ENSG00000242565	RN7SL372P	ortholog_one2one	1
ENSMFAG00000031148		ENSG00000079462	PAFAH1B3	ortholog_one2many	1
ENSMFAG00000018210	Metazoa_SRP	ENSG00000266075	RN7SL574P	ortholog_one2one	1
ENSMFAG00000020955	Metazoa_SRP	ENSG00000277141	Metazoa_SRP	ortholog_one2one	1
ENSMFAG00000037196	PHLDB2	ENSG00000144824	PHLDB2	ortholog_one2one	1
ENSMFAG00000054004					
ENSMFAG00000041475	SMIM1	ENSG00000235169	SMIM1	ortholog_one2one	1
ENSMFAG00000008984	EXO5	ENSG00000164002	EXO5	ortholog_one2one	1
ENSMFAG00000039265	FCRL6	ENSG00000181036	FCRL6	ortholog_one2one	1
ENSMFAG00000031291	SDE2	ENSG00000143751	SDE2	ortholog_one2one	1
ENSMFAG00000043479	DPH3	ENSG00000154813	DPH3	ortholog_one2one	1
ENSMFAG00000038286	TNR	ENSG00000116147	TNR	ortholog_one2one	1
ENSMFAG00000040306	PADI2	ENSG00000117115	PADI2	ortholog_one2one	1
ENSMFAG00000024408	STIL	ENSG00000123473	STIL	ortholog_one2one	1
ENSMFAG00000059941	Y_RNA	ENSG00000201602	Y_RNA	ortholog_one2many	1
ENSMFAG00000004551	U6	ENSG00000201028	RNU6-151P	ortholog_one2one	1
ENSMFAG00000044546	SAMD7	ENSG00000187033	SAMD7	ortholog_one2one	1
ENSMFAG00000044226	TATDN2	ENSG00000157014	TATDN2	ortholog_one2one	1
ENSMFAG00000059511					
ENSMFAG00000051927					
ENSMFAG00000053998					
ENSMFAG00000033058	NPR1	ENSG00000169418	NPR1	ortholog_one2one	1
ENSMFAG00000041091	ROR1	ENSG00000185483	ROR1	ortholog_one2one	1
ENSMFAG00000061771		ENSG00000183310	OR2T34	ortholog_one2many	1
ENSMFAG00000061771		ENSG00000196539	OR2T3	ortholog_one2many	1
ENSMFAG00000034074	DIO1	ENSG00000211452	DIO1	ortholog_one2one	1
ENSMFAG00000039059	CCDC27	ENSG00000162592	CCDC27	ortholog_one2one	1
ENSMFAG00000060343					
ENSMFAG00000037308	HNRNPU	ENSG00000153187	HNRNPU	ortholog_one2one	1
ENSMFAG00000029955					
ENSMFAG00000052875					
ENSMFAG00000037561	VTCN1	ENSG00000134258	VTCN1	ortholog_one2one	1
ENSMFAG00000045269	H3-3A				
ENSMFAG00000040291	GALNT15	ENSG00000131386	GALNT15	ortholog_one2one	1
ENSMFAG00000002528	TMIGD3	ENSG00000121933	TMIGD3	ortholog_one2one	1
ENSMFAG00000057434	Metazoa_SRP	ENSG00000278100	Metazoa_SRP	ortholog_one2one	0
ENSMFAG00000046123	USP33	ENSG00000077254	USP33	ortholog_one2one	1
ENSMFAG00000055730	OR9G1	ENSG00000174914	OR9G1	ortholog_one2one	1
ENSMFAG00000060750					
ENSMFAG00000042617	SELL	ENSG00000188404	SELL	ortholog_one2one	1
ENSMFAG00000003201	KHDC4	ENSG00000132680	KHDC4	ortholog_one2one	1
ENSMFAG00000030569	YOD1	ENSG00000180667	YOD1	ortholog_one2one	1
ENSMFAG00000048804					
ENSMFAG00000038294	ZFP69	ENSG00000187815	ZFP69	ortholog_one2one	1
ENSMFAG00000039070		ENSG00000117118	SDHB	ortholog_one2many	1
ENSMFAG00000058321	Metazoa_SRP	ENSG00000241347	RN7SL466P	ortholog_one2many	1
ENSMFAG00000050442		ENSG00000172459	OR5AR1	ortholog_one2many	1
ENSMFAG00000050027					
ENSMFAG00000032846	IPO13	ENSG00000117408	IPO13	ortholog_one2one	1
ENSMFAG00000055187	Metazoa_SRP				
ENSMFAG00000050975	Metazoa_SRP				
ENSMFAG00000047194					
ENSMFAG00000064517					
ENSMFAG00000031653	SMG7	ENSG00000116698	SMG7	ortholog_one2one	1
ENSMFAG00000006372	SCARNA4	ENSG00000280466	SCARNA4	ortholog_one2many	1
ENSMFAG00000006372	SCARNA4	ENSG00000281394	SCARNA4	ortholog_one2many	1
ENSMFAG00000065773	Y_RNA	ENSG00000200508	Y_RNA	ortholog_one2one	1
ENSMFAG00000052062	Metazoa_SRP				
ENSMFAG00000057661	OR14I1	ENSG00000189181	OR14I1	ortholog_one2one	1
ENSMFAG00000008783	SNORA42	ENSG00000207475	SNORA80E	ortholog_one2one	1
ENSMFAG00000063835					
ENSMFAG00000048787					
ENSMFAG00000022559		ENSG00000172757	CFL1	ortholog_one2many	0
ENSMFAG00000037335	OR2G6	ENSG00000188558	OR2G6	ortholog_one2one	1
ENSMFAG00000040289		ENSG00000162746	FCRLB	ortholog_one2one	0
ENSMFAG00000001279	SELE	ENSG00000007908	SELE	ortholog_one2one	1
ENSMFAG00000017749	SEC62	ENSG00000008952	SEC62	ortholog_one2one	1
ENSMFAG00000035930	ZXDC	ENSG00000070476	ZXDC	ortholog_one2one	1
ENSMFAG00000043669	GHRL	ENSG00000157017	GHRL	ortholog_one2one	1
ENSMFAG00000011493		ENSG00000185201	IFITM2	ortholog_many2many	0
ENSMFAG00000011493		ENSG00000300510		ortholog_many2many	1
ENSMFAG00000034178	GADL1	ENSG00000144644	GADL1	ortholog_one2one	1
ENSMFAG00000052107		ENSG00000172459	OR5AR1	ortholog_one2many	1
ENSMFAG00000045670	ACBD3	ENSG00000182827	ACBD3	ortholog_one2one	1
ENSMFAG00000037304		ENSG00000143621	ILF2	ortholog_one2many	1
ENSMFAG00000065189					
ENSMFAG00000051399	U6	ENSG00000200360	RNU6-792P	ortholog_one2one	1
ENSMFAG00000031836		ENSG00000203661	OR2T5	ortholog_one2many	1
ENSMFAG00000031836		ENSG00000182783	OR2T29	ortholog_one2many	0
ENSMFAG00000031836		ENSG00000196944	OR2T4	ortholog_one2many	0
ENSMFAG00000058930					
ENSMFAG00000054543	RIT1	ENSG00000143622	RIT1	ortholog_one2one	1
ENSMFAG00000037537	ARTN	ENSG00000117407	ARTN	ortholog_one2one	1
ENSMFAG00000034319	C1orf162	ENSG00000143110	C1orf162	ortholog_one2one	1
ENSMFAG00000004655					
ENSMFAG00000061455	OR2T10	ENSG00000184022	OR2T10	ortholog_one2one	1
ENSMFAG00000039230	TRIM45	ENSG00000134253	TRIM45	ortholog_one2one	1
ENSMFAG00000051300					
ENSMFAG00000022253	METTL18	ENSG00000171806	METTL18	ortholog_one2one	1
ENSMFAG00000057806	Y_RNA	ENSG00000201602	Y_RNA	ortholog_one2many	1
ENSMFAG00000038697		ENSG00000132185	FCRLA	ortholog_one2many	1
ENSMFAG00000062543					
ENSMFAG00000002744	FMO5	ENSG00000131781	FMO5	ortholog_one2one	1
ENSMFAG00000047953	Metazoa_SRP				
ENSMFAG00000042166	PLCH1	ENSG00000114805	PLCH1	ortholog_one2one	1
ENSMFAG00000035826	ATP13A2	ENSG00000159363	ATP13A2	ortholog_one2one	1
ENSMFAG00000059526	SNAPIN	ENSG00000143553	SNAPIN	ortholog_one2one	1
ENSMFAG00000044100	SMAP2	ENSG00000084070	SMAP2	ortholog_one2one	1
ENSMFAG00000055467		ENSG00000177151	OR2T35	ortholog_many2many	1
ENSMFAG00000055467		ENSG00000196240	OR2T2	ortholog_many2many	1
ENSMFAG00000060372					
ENSMFAG00000043807	TP73	ENSG00000078900	TP73	ortholog_one2one	1
ENSMFAG00000037534	ATP5PB	ENSG00000116459	ATP5PB	ortholog_one2one	1
ENSMFAG00000027604					
ENSMFAG00000036304	NDC1	ENSG00000058804	NDC1	ortholog_one2one	1
ENSMFAG00000063311					
ENSMFAG00000047840	OR2T1	ENSG00000175143	OR2T1	ortholog_one2one	1
ENSMFAG00000047639	TAL1	ENSG00000162367	TAL1	ortholog_one2one	1
ENSMFAG00000042516					
ENSMFAG00000057956					
ENSMFAG00000054769	OR2T6	ENSG00000198104	OR2T6	ortholog_one2one	1
ENSMFAG00000039080	FIRRM	ENSG00000000460	FIRRM	ortholog_one2one	1
ENSMFAG00000043408	ZZZ3	ENSG00000036549	ZZZ3	ortholog_one2one	1
ENSMFAG00000002324	PDZK1IP1	ENSG00000162366	PDZK1IP1	ortholog_one2one	1
ENSMFAG00000059325		ENSG00000143226	FCGR2A	ortholog_many2many	0
ENSMFAG00000059325		ENSG00000072694	FCGR2B	ortholog_many2many	1
ENSMFAG00000059325		ENSG00000244682	FCGR2C	ortholog_many2many	0
ENSMFAG00000037200	SEC13	ENSG00000157020	SEC13	ortholog_one2one	1
ENSMFAG00000048892					
ENSMFAG00000055346					
ENSMFAG00000039413	SYT11	ENSG00000132718	SYT11	ortholog_one2one	1
ENSMFAG00000043752	DUSP23	ENSG00000158716	DUSP23	ortholog_one2one	1
ENSMFAG00000058331		ENSG00000162727	OR2M5	ortholog_one2many	0
ENSMFAG00000058331		ENSG00000177186	OR2M7	ortholog_one2many	1
ENSMFAG00000058331		ENSG00000198601	OR2M2	ortholog_one2many	1
ENSMFAG00000058331		ENSG00000228198	OR2M3	ortholog_one2many	1
ENSMFAG00000003965	TGFBR2	ENSG00000163513	TGFBR2	ortholog_one2one	1
ENSMFAG00000047384					
ENSMFAG00000045452	CHTOP	ENSG00000160679	CHTOP	ortholog_one2one	1
ENSMFAG00000053602	Metazoa_SRP				
ENSMFAG00000028569	COL9A2	ENSG00000049089	COL9A2	ortholog_one2one	1
ENSMFAG00000061696	Metazoa_SRP				
ENSMFAG00000042796	CYP4A45P	ENSG00000162365	CYP4A22	ortholog_many2many	1
ENSMFAG00000042796	CYP4A45P	ENSG00000187048	CYP4A11	ortholog_many2many	0
