humanEnsemblID,HumanGeneSymbol,MfasEnsemblID,MfasGeneSymbol
ENSG00000101911,PRPS2,ENSMFAG00000031505,PRPS2
ENSG00000114626,ABTB1,ENSMFAG00000033156,ABTB1
ENSG00000163430,FSTL1,ENSMFAG00000036133,FSTL1
ENSG00000117010,ZNF684,ENSMFAG00000000321,ZNF684
ENSG00000128294,TPST2,ENSMFAG00000000373,TPST2
ENSG00000174469,CNTNAP2,ENSMFAG00000046348,CNTNAP2
ENSG00000178222,RNF212,ENSMFAG00000002719,RNF212
ENSG00000100122,CRYBB1,ENSMFAG00000042821,CRYBB1
ENSG00000164512,ANKRD55,ENSMFAG00000031576,ANKRD55
ENSG00000182809,CRIP2,ENSMFAG00000035907,CRIP2
ENSG00000253719,ATXN7L3B,ENSMFAG00000027716,ATXN7L3B
ENSG00000174738,NR1D2,ENSMFAG00000038893,NR1D2
ENSG00000196542,SPTSSB,ENSMFAG00000030263,SPTSSB
ENSG00000155897,ADCY8,ENSMFAG00000000140,ADCY8
ENSG00000155368,DBI,ENSMFAG00000040570,DBI
ENSG00000198691,ABCA4,ENSMFAG00000032139,ABCA4
ENSG00000164062,APEH,ENSMFAG00000043600,APEH
ENSG00000107902,LHPP,ENSMFAG00000039017,LHPP
ENSG00000149972,CNTN5,ENSMFAG00000045865,CNTN5
ENSG00000131378,RFTN1,ENSMFAG00000043580,RFTN1
ENSG00000166006,KCNC2,ENSMFAG00000032844,KCNC2
ENSG00000198838,RYR3,ENSMFAG00000036819,RYR3
ENSG00000157426,AASDH,ENSMFAG00000033449,AASDH
ENSG00000166839,ANKDD1A,ENSMFAG00000041562,ANKDD1A
ENSG00000157933,SKI,ENSMFAG00000032222,SKI
ENSG00000157219,HTR5A,ENSMFAG00000046388,HTR5A
ENSG00000070366,SMG6,ENSMFAG00000003394,SMG6
ENSG00000198830,HMGN2,ENSMFAG00000020667,
ENSG00000198830,HMGN2,ENSMFAG00000027623,
ENSG00000070081,NUCB2,ENSMFAG00000038074,NUCB2
ENSG00000144152,FBLN7,ENSMFAG00000015043,FBLN7
ENSG00000137962,ARHGAP29,ENSMFAG00000043826,ARHGAP29
ENSG00000162989,KCNJ3,ENSMFAG00000043008,KCNJ3
ENSG00000117016,RIMS3,ENSMFAG00000036770,RIMS3
ENSG00000187243,MAGED4B,ENSMFAG00000040747,
ENSG00000159674,SPON2,ENSMFAG00000035173,SPON2
ENSG00000120594,PLXDC2,ENSMFAG00000045260,PLXDC2
ENSG00000180881,CAPS2,ENSMFAG00000038272,CAPS2
ENSG00000187961,KLHL17,ENSMFAG00000037797,KLHL17
ENSG00000165626,BEND7,ENSMFAG00000002654,BEND7
ENSG00000108094,CUL2,ENSMFAG00000044478,CUL2
ENSG00000179399,GPC5,ENSMFAG00000035829,GPC5
ENSG00000178363,CALML3,ENSMFAG00000008251,CALML3
ENSG00000115526,CHST10,ENSMFAG00000043113,CHST10
ENSG00000164794,KCNV1,ENSMFAG00000037130,KCNV1
ENSG00000172264,MACROD2,ENSMFAG00000044094,MACROD2
ENSG00000166548,TK2,ENSMFAG00000035489,TK2
ENSG00000101251,SEL1L2,ENSMFAG00000040207,SEL1L2
ENSG00000133116,KL,ENSMFAG00000035814,KL
ENSG00000101412,E2F1,ENSMFAG00000042416,E2F1
ENSG00000172244,C5orf34,ENSMFAG00000044319,C5orf34
ENSG00000128989,ARPP19,ENSMFAG00000035450,ARPP19
ENSG00000118705,RPN2,ENSMFAG00000030858,RPN2
ENSG00000120658,ENOX1,ENSMFAG00000025611,ENOX1
ENSG00000033867,SLC4A7,ENSMFAG00000000748,SLC4A7
ENSG00000086300,SNX10,ENSMFAG00000000672,SNX10
ENSG00000175354,PTPN2,ENSMFAG00000044539,PTPN2
ENSG00000197147,LRRC8B,ENSMFAG00000026599,LRRC8B
ENSG00000139194,RBP5,ENSMFAG00000032202,RBP5
ENSG00000181754,AMIGO1,ENSMFAG00000030580,AMIGO1
ENSG00000187486,KCNJ11,ENSMFAG00000010384,KCNJ11
ENSG00000123130,ACOT9,ENSMFAG00000041858,ACOT9
ENSG00000174844,DNAH12,ENSMFAG00000031056,
ENSG00000276644,DACH1,ENSMFAG00000032114,DACH1
ENSG00000154719,MRPL39,ENSMFAG00000032925,MRPL39
ENSG00000162601,MYSM1,ENSMFAG00000002666,MYSM1
ENSG00000074657,ZNF532,ENSMFAG00000003776,
ENSG00000079134,THOC1,ENSMFAG00000041520,THOC1
ENSG00000107807,TLX1,ENSMFAG00000045878,TLX1
ENSG00000140022,STON2,ENSMFAG00000039552,STON2
ENSG00000026025,VIM,ENSMFAG00000003332,VIM
ENSG00000159248,GJD2,ENSMFAG00000036155,GJD2
ENSG00000159251,ACTC1,ENSMFAG00000039604,ACTC1
ENSG00000188747,NOXA1,ENSMFAG00000030739,NOXA1
ENSG00000143545,RAB13,ENSMFAG00000041018,RAB13
ENSG00000163093,BBS5,ENSMFAG00000040347,BBS5
ENSG00000189046,ALKBH2,ENSMFAG00000003561,ALKBH2
ENSG00000108561,C1QBP,ENSMFAG00000038245,C1QBP
ENSG00000138030,KHK,ENSMFAG00000032386,KHK
ENSG00000176896,TCEANC,ENSMFAG00000046343,TCEANC
ENSG00000145526,CDH18,ENSMFAG00000030294,CDH18
ENSG00000100503,NIN,ENSMFAG00000042051,NIN
ENSG00000117525,F3,ENSMFAG00000041937,F3
ENSG00000186470,BTN3A2,ENSMFAG00000041509,BTN3A2
ENSG00000169006,NTSR2,ENSMFAG00000043071,NTSR2
ENSG00000188290,HES4,ENSMFAG00000001738,HES4
ENSG00000171310,CHST11,ENSMFAG00000040754,CHST11
ENSG00000204634,TBC1D8,ENSMFAG00000004006,TBC1D8
ENSG00000145087,STXBP5L,ENSMFAG00000002402,STXBP5L
ENSG00000142794,NBPF3,ENSMFAG00000046003,
ENSG00000142794,NBPF3,ENSMFAG00000035716,
ENSG00000142794,NBPF3,ENSMFAG00000034507,
ENSG00000078814,MYH7B,ENSMFAG00000044824,MYH7B
ENSG00000196652,ZKSCAN5,ENSMFAG00000037519,ZKSCAN5
ENSG00000107679,PLEKHA1,ENSMFAG00000041484,PLEKHA1
ENSG00000155393,HEATR3,ENSMFAG00000002184,HEATR3
ENSG00000174292,TNK1,ENSMFAG00000031134,TNK1
ENSG00000137154,RPS6,ENSMFAG00000044377,
ENSG00000137154,RPS6,ENSMFAG00000000915,
ENSG00000179348,GATA2,ENSMFAG00000038603,GATA2
ENSG00000101144,BMP7,ENSMFAG00000032242,BMP7
ENSG00000075292,ZNF638,ENSMFAG00000034359,ZNF638
ENSG00000163577,EIF5A2,ENSMFAG00000032595,EIF5A2
ENSG00000175445,LPL,ENSMFAG00000041424,LPL
ENSG00000104635,SLC39A14,ENSMFAG00000003405,SLC39A14
ENSG00000140287,HDC,ENSMFAG00000000845,HDC
ENSG00000106536,POU6F2,ENSMFAG00000035869,POU6F2
ENSG00000187288,CIDEC,ENSMFAG00000031714,CIDEC
ENSG00000147155,EBP,ENSMFAG00000037811,EBP
ENSG00000139714,MORN3,ENSMFAG00000045300,MORN3
ENSG00000166351,POTED,ENSMFAG00000033345,
ENSG00000166351,POTED,ENSMFAG00000006312,
ENSG00000104522,TSTA3,ENSMFAG00000045210,TSTA3
ENSG00000189403,HMGB1,ENSMFAG00000030905,HMGB1
ENSG00000174780,SRP72,ENSMFAG00000031065,SRP72
ENSG00000152595,MEPE,ENSMFAG00000042632,MEPE
ENSG00000105894,PTN,ENSMFAG00000045099,PTN
ENSG00000161048,NAPEPLD,ENSMFAG00000044187,NAPEPLD
ENSG00000132952,USPL1,ENSMFAG00000032370,USPL1
ENSG00000169062,UPF3A,ENSMFAG00000045016,UPF3A
ENSG00000128050,PAICS,ENSMFAG00000033255,PAICS
ENSG00000126106,TMEM53,ENSMFAG00000036823,TMEM53
ENSG00000167705,RILP,ENSMFAG00000001002,RILP
ENSG00000110195,FOLR1,ENSMFAG00000030646,FOLR1
ENSG00000168453,HR,ENSMFAG00000040324,HR
ENSG00000120868,APAF1,ENSMFAG00000039197,APAF1
ENSG00000163909,HEYL,ENSMFAG00000045585,HEYL
ENSG00000160349,LCN1,ENSMFAG00000001403,
ENSG00000160349,LCN1,ENSMFAG00000000306,
ENSG00000125821,DTD1,ENSMFAG00000044812,
ENSG00000185070,FLRT2,ENSMFAG00000017989,FLRT2
ENSG00000130699,TAF4,ENSMFAG00000002330,TAF4
ENSG00000188735,TMEM120B,ENSMFAG00000003634,TMEM120B
ENSG00000136574,GATA4,ENSMFAG00000033254,GATA4
ENSG00000186716,BCR,ENSMFAG00000044501,BCR
ENSG00000174945,AMZ1,ENSMFAG00000045552,AMZ1
ENSG00000213906,LTB4R2,ENSMFAG00000030618,LTB4R2
ENSG00000096872,IFT74,ENSMFAG00000001877,IFT74
ENSG00000214063,TSPAN4,ENSMFAG00000045086,TSPAN4
ENSG00000160688,FLAD1,ENSMFAG00000027670,FLAD1
ENSG00000196126,HLA-DRB1,ENSMFAG00000044231,
ENSG00000196126,HLA-DRB1,ENSMFAG00000000676,
ENSG00000170004,CHD3,ENSMFAG00000020113,CHD3
ENSG00000182621,PLCB1,ENSMFAG00000043247,PLCB1
ENSG00000172602,RND1,ENSMFAG00000038513,RND1
ENSG00000127580,WDR24,ENSMFAG00000031351,WDR24
ENSG00000166562,SEC11C,ENSMFAG00000037029,SEC11C
ENSG00000110900,TSPAN11,ENSMFAG00000040296,TSPAN11
ENSG00000167543,TP53I13,ENSMFAG00000040828,TP53I13
ENSG00000177425,PAWR,ENSMFAG00000001736,PAWR
ENSG00000058272,PPP1R12A,ENSMFAG00000034239,PPP1R12A
ENSG00000142634,EFHD2,ENSMFAG00000044896,EFHD2
ENSG00000180957,PITPNB,ENSMFAG00000001730,PITPNB
ENSG00000120519,SLC10A7,ENSMFAG00000005395,SLC10A7
ENSG00000145692,BHMT,ENSMFAG00000030260,BHMT
ENSG00000182870,GALNT9,ENSMFAG00000001630,GALNT9
ENSG00000140157,NIPA2,ENSMFAG00000000201,NIPA2
ENSG00000184831,APOO,ENSMFAG00000000489,APOO
ENSG00000120896,SORBS3,ENSMFAG00000030516,SORBS3
ENSG00000116128,BCL9,ENSMFAG00000043762,BCL9
ENSG00000103507,BCKDK,ENSMFAG00000003444,BCKDK
ENSG00000014138,POLA2,ENSMFAG00000031551,
ENSG00000115159,GPD2,ENSMFAG00000031606,GPD2
ENSG00000204683,C10orf113,ENSMFAG00000038593,C10orf113
ENSG00000157873,TNFRSF14,ENSMFAG00000042470,TNFRSF14
ENSG00000005020,SKAP2,ENSMFAG00000041066,SKAP2
ENSG00000161835,GRASP,ENSMFAG00000041403,GRASP
ENSG00000172046,USP19,ENSMFAG00000040355,USP19
ENSG00000103253,HAGHL,ENSMFAG00000032740,HAGHL
ENSG00000172889,EGFL7,ENSMFAG00000043021,EGFL7
ENSG00000213551,DNAJC9,ENSMFAG00000042542,DNAJC9
ENSG00000166321,NUDT13,ENSMFAG00000037900,NUDT13
ENSG00000155886,SLC24A2,ENSMFAG00000031682,SLC24A2
ENSG00000140265,ZSCAN29,ENSMFAG00000000216,ZSCAN29
ENSG00000198848,CES1,ENSMFAG00000043869,CES1
ENSG00000198848,CES1,ENSMFAG00000031843,
ENSG00000178896,EXOSC4,ENSMFAG00000000161,EXOSC4
ENSG00000166165,CKB,ENSMFAG00000003668,CKB
ENSG00000137822,TUBGCP4,ENSMFAG00000033642,TUBGCP4
ENSG00000133731,IMPA1,ENSMFAG00000031108,IMPA1
ENSG00000102753,KPNA3,ENSMFAG00000043025,KPNA3
ENSG00000160685,ZBTB7B,ENSMFAG00000042075,ZBTB7B
ENSG00000108551,RASD1,ENSMFAG00000041730,RASD1
ENSG00000165355,FBXO33,ENSMFAG00000043656,FBXO33
ENSG00000131969,ABHD12B,ENSMFAG00000035570,ABHD12B
ENSG00000136160,EDNRB,ENSMFAG00000001921,EDNRB
ENSG00000101665,SMAD7,ENSMFAG00000042998,SMAD7
ENSG00000144550,CPNE9,ENSMFAG00000035676,CPNE9
ENSG00000169692,AGPAT2,ENSMFAG00000034214,AGPAT2
ENSG00000165643,SOHLH1,ENSMFAG00000045081,SOHLH1
ENSG00000196335,STK31,ENSMFAG00000002623,STK31
ENSG00000173540,GMPPB,ENSMFAG00000035247,GMPPB
ENSG00000121281,ADCY7,ENSMFAG00000037814,ADCY7
ENSG00000156711,MAPK13,ENSMFAG00000045766,MAPK13
ENSG00000085552,IGSF9,ENSMFAG00000000704,IGSF9
ENSG00000197046,SIGLEC15,ENSMFAG00000031829,SIGLEC15
ENSG00000266338,NBPF15,ENSMFAG00000043360,
ENSG00000266338,NBPF15,ENSMFAG00000031340,
ENSG00000164068,RNF123,ENSMFAG00000028385,RNF123
ENSG00000198286,CARD11,ENSMFAG00000036800,CARD11
ENSG00000116127,ALMS1,ENSMFAG00000038592,ALMS1
ENSG00000166170,BAG5,ENSMFAG00000046271,BAG5
ENSG00000167699,GLOD4,ENSMFAG00000032435,GLOD4
ENSG00000162551,ALPL,ENSMFAG00000039118,ALPL
ENSG00000101493,ZNF516,ENSMFAG00000041625,ZNF516
ENSG00000048052,HDAC9,ENSMFAG00000008589,HDAC9
ENSG00000171873,ADRA1D,ENSMFAG00000003889,ADRA1D
ENSG00000166710,B2M,ENSMFAG00000034244,B2M
ENSG00000152409,JMY,ENSMFAG00000044839,JMY
ENSG00000096070,BRPF3,ENSMFAG00000000567,BRPF3
ENSG00000146555,SDK1,ENSMFAG00000032698,SDK1
ENSG00000145996,CDKAL1,ENSMFAG00000035642,CDKAL1
ENSG00000185742,C11orf87,ENSMFAG00000040157,C14H11orf87
ENSG00000186918,ZNF395,ENSMFAG00000036920,ZNF395
ENSG00000079257,LXN,ENSMFAG00000038453,LXN
ENSG00000168481,LGI3,ENSMFAG00000031993,LGI3
ENSG00000163833,FBXO40,ENSMFAG00000043265,FBXO40
ENSG00000184436,THAP7,ENSMFAG00000002469,THAP7
ENSG00000221968,FADS3,ENSMFAG00000040762,FADS3
ENSG00000100226,GTPBP1,ENSMFAG00000037252,GTPBP1
ENSG00000164066,INTU,ENSMFAG00000000529,INTU
ENSG00000038210,PI4K2B,ENSMFAG00000033102,PI4K2B
ENSG00000152413,HOMER1,ENSMFAG00000001337,HOMER1
ENSG00000128276,RFPL3,ENSMFAG00000039315,
ENSG00000172500,FIBP,ENSMFAG00000046229,FIBP
ENSG00000163040,CCDC74A,ENSMFAG00000045380,
ENSG00000182405,PGBD4,ENSMFAG00000012556,PGBD4
ENSG00000164168,TMEM184C,ENSMFAG00000039107,TMEM184C
ENSG00000077092,RARB,ENSMFAG00000046169,RARB
ENSG00000133112,TPT1,ENSMFAG00000031958,TPT1
ENSG00000118922,KLF12,ENSMFAG00000002684,KLF12
ENSG00000179476,C14orf28,ENSMFAG00000032623,C14orf28
ENSG00000165495,PKNOX2,ENSMFAG00000046199,PKNOX2
ENSG00000065978,YBX1,ENSMFAG00000040529,YBX1
ENSG00000168539,CHRM1,ENSMFAG00000028626,CHRM1
ENSG00000183770,FOXL2,ENSMFAG00000037579,FOXL2
ENSG00000165061,ZMAT4,ENSMFAG00000043475,ZMAT4
ENSG00000144136,SLC20A1,ENSMFAG00000006822,SLC20A1
ENSG00000177954,RPS27,ENSMFAG00000028211,
ENSG00000177954,RPS27,ENSMFAG00000013529,
ENSG00000177954,RPS27,ENSMFAG00000027483,
ENSG00000148700,ADD3,ENSMFAG00000031457,ADD3
ENSG00000111674,ENO2,ENSMFAG00000003928,ENO2
ENSG00000053438,NNAT,ENSMFAG00000033180,NNAT
ENSG00000146530,VWDE,ENSMFAG00000040971,VWDE
ENSG00000162729,IGSF8,ENSMFAG00000036621,IGSF8
ENSG00000111859,NEDD9,ENSMFAG00000042994,NEDD9
ENSG00000175287,PHYHD1,ENSMFAG00000045370,PHYHD1
ENSG00000101327,PDYN,ENSMFAG00000043721,PDYN
ENSG00000162129,CLPB,ENSMFAG00000039603,CLPB
ENSG00000119986,AVPI1,ENSMFAG00000043548,AVPI1
ENSG00000147475,ERLIN2,ENSMFAG00000030735,ERLIN2
ENSG00000140350,ANP32A,ENSMFAG00000043083,ANP32A
ENSG00000117751,PPP1R8,ENSMFAG00000001557,PPP1R8
ENSG00000101945,SUV39H1,ENSMFAG00000042131,SUV39H1
ENSG00000110148,CCKBR,ENSMFAG00000004039,CCKBR
ENSG00000177994,C2orf73,ENSMFAG00000002665,C2orf73
ENSG00000169064,ZBBX,ENSMFAG00000042164,ZBBX
ENSG00000178075,GRAMD1C,ENSMFAG00000032955,GRAMD1C
ENSG00000165553,NGB,ENSMFAG00000045727,NGB
ENSG00000152147,GEMIN6,ENSMFAG00000035412,GEMIN6
ENSG00000122481,RWDD3,ENSMFAG00000013715,RWDD3
ENSG00000097046,CDC7,ENSMFAG00000000474,
ENSG00000097046,CDC7,ENSMFAG00000033052,
ENSG00000106123,EPHB6,ENSMFAG00000039585,EPHB6
ENSG00000204001,LCN8,ENSMFAG00000039801,LCN8
ENSG00000177984,LCN15,ENSMFAG00000031073,LCN15
ENSG00000120647,CCDC77,ENSMFAG00000045459,CCDC77
ENSG00000169314,C22orf15,ENSMFAG00000033915,C22orf15
ENSG00000204711,C9orf135,ENSMFAG00000034619,C9orf135
ENSG00000121207,LRAT,ENSMFAG00000029235,LRAT
ENSG00000115548,KDM3A,ENSMFAG00000046149,KDM3A
ENSG00000183856,IQGAP3,ENSMFAG00000035349,IQGAP3
ENSG00000170043,TRAPPC1,ENSMFAG00000036509,TRAPPC1
ENSG00000198000,NOL8,ENSMFAG00000034500,NOL8
ENSG00000177291,GJD4,ENSMFAG00000031831,GJD4
ENSG00000184363,PKP3,ENSMFAG00000000633,PKP3
ENSG00000165029,ABCA1,ENSMFAG00000002145,ABCA1
ENSG00000157782,CABP1,ENSMFAG00000031052,
ENSG00000182010,RTKN2,ENSMFAG00000039047,RTKN2
ENSG00000166501,PRKCB,ENSMFAG00000031022,PRKCB
ENSG00000196781,TLE1,ENSMFAG00000042116,TLE1
ENSG00000100150,DEPDC5,ENSMFAG00000031441,
ENSG00000143401,ANP32E,ENSMFAG00000000851,ANP32E
ENSG00000145982,FARS2,ENSMFAG00000043484,FARS2
ENSG00000164588,HCN1,ENSMFAG00000031844,HCN1
ENSG00000204564,C6orf136,ENSMFAG00000030434,C6orf136
ENSG00000155097,ATP6V1C1,ENSMFAG00000045088,ATP6V1C1
ENSG00000183840,GPR39,ENSMFAG00000041717,
ENSG00000150551,LYPD1,ENSMFAG00000033924,LYPD1
ENSG00000140299,BNIP2,ENSMFAG00000033391,BNIP2
ENSG00000138311,ZNF365,ENSMFAG00000044758,ZNF365
ENSG00000132821,VSTM2L,ENSMFAG00000031475,VSTM2L
ENSG00000114204,SERPINI2,ENSMFAG00000032297,SERPINI2
ENSG00000157765,SLC34A2,ENSMFAG00000020407,SLC34A2
ENSG00000138326,RPS24,ENSMFAG00000037643,RPS24
ENSG00000160654,CD3G,ENSMFAG00000040063,CD3G
ENSG00000138642,HERC6,ENSMFAG00000040004,HERC6
ENSG00000172780,RAB43,ENSMFAG00000040013,RAB43
ENSG00000124785,NRN1,ENSMFAG00000007750,NRN1
ENSG00000164011,ZNF691,ENSMFAG00000002872,ZNF691
ENSG00000140279,DUOX2,ENSMFAG00000029863,DUOX2
ENSG00000109339,MAPK10,ENSMFAG00000001537,MAPK10
ENSG00000068078,FGFR3,ENSMFAG00000032292,FGFR3
ENSG00000123213,NLN,ENSMFAG00000031704,NLN
ENSG00000138606,SHF,ENSMFAG00000045114,SHF
ENSG00000119138,KLF9,ENSMFAG00000035395,KLF9
ENSG00000134419,RPS15A,ENSMFAG00000031422,RPS15A
ENSG00000136044,APPL2,ENSMFAG00000043698,APPL2
ENSG00000074047,GLI2,ENSMFAG00000003477,GLI2
ENSG00000139926,FRMD6,ENSMFAG00000039658,FRMD6
ENSG00000175793,SFN,ENSMFAG00000017885,SFN
ENSG00000142751,GPN2,ENSMFAG00000036999,GPN2
ENSG00000069345,DNAJA2,ENSMFAG00000003461,DNAJA2
ENSG00000134504,KCTD1,ENSMFAG00000036987,
ENSG00000197860,SGTB,ENSMFAG00000043797,SGTB
ENSG00000132386,SERPINF1,ENSMFAG00000044409,SERPINF1
ENSG00000181619,GPR135,ENSMFAG00000005447,GPR135
ENSG00000213722,DDAH2,ENSMFAG00000035624,DDAH2
ENSG00000198746,GPATCH3,ENSMFAG00000030918,GPATCH3
ENSG00000175203,DCTN2,ENSMFAG00000001581,DCTN2
ENSG00000154310,TNIK,ENSMFAG00000039273,TNIK
ENSG00000163110,PDLIM5,ENSMFAG00000030301,PDLIM5
ENSG00000168491,CCDC110,ENSMFAG00000038835,CCDC110
ENSG00000103184,SEC14L5,ENSMFAG00000002127,SEC14L5
ENSG00000142937,RPS8,ENSMFAG00000036789,RPS8
ENSG00000135175,OCM2,ENSMFAG00000036278,
ENSG00000135175,OCM2,ENSMFAG00000042673,
ENSG00000174953,DHX36,ENSMFAG00000032288,DHX36
ENSG00000123329,ARHGAP9,ENSMFAG00000039577,ARHGAP9
ENSG00000181915,ADO,ENSMFAG00000013749,ADO
ENSG00000131650,KREMEN2,ENSMFAG00000043767,KREMEN2
ENSG00000185158,LRRC37B,ENSMFAG00000031751,
ENSG00000185158,LRRC37B,ENSMFAG00000001235,
ENSG00000148572,NRBF2,ENSMFAG00000031882,NRBF2
ENSG00000143318,CASQ1,ENSMFAG00000036087,CASQ1
ENSG00000132676,DAP3,ENSMFAG00000031112,DAP3
ENSG00000109625,CPZ,ENSMFAG00000045903,CPZ
ENSG00000164237,CMBL,ENSMFAG00000001594,CMBL
ENSG00000162734,PEA15,ENSMFAG00000033624,PEA15
ENSG00000155269,GPR78,ENSMFAG00000010719,GPR78
ENSG00000141668,CBLN2,ENSMFAG00000033106,CBLN2
ENSG00000075975,MKRN2,ENSMFAG00000035845,MKRN2
ENSG00000116251,RPL22,ENSMFAG00000012536,
ENSG00000131626,PPFIA1,ENSMFAG00000032570,PPFIA1
ENSG00000119888,EPCAM,ENSMFAG00000003661,EPCAM
ENSG00000074527,NTN4,ENSMFAG00000040537,NTN4
ENSG00000179314,WSCD1,ENSMFAG00000003388,WSCD1
ENSG00000147677,EIF3H,ENSMFAG00000004699,EIF3H
ENSG00000118292,C1orf54,ENSMFAG00000002775,C1orf54
ENSG00000155011,DKK2,ENSMFAG00000032422,DKK2
ENSG00000124942,AHNAK,ENSMFAG00000037659,AHNAK
ENSG00000204262,COL5A2,ENSMFAG00000045841,COL5A2
ENSG00000204256,BRD2,ENSMFAG00000037520,BRD2
ENSG00000204256,BRD2,ENSMFAG00000039110,
ENSG00000171208,NETO2,ENSMFAG00000000612,NETO2
ENSG00000158156,XKR8,ENSMFAG00000037317,XKR8
ENSG00000166682,TMPRSS5,ENSMFAG00000044108,TMPRSS5
ENSG00000183765,CHEK2,ENSMFAG00000035925,CHEK2
ENSG00000077063,CTTNBP2,ENSMFAG00000039255,CTTNBP2
ENSG00000123191,ATP7B,ENSMFAG00000001355,ATP7B
ENSG00000172346,CSDC2,ENSMFAG00000038565,CSDC2
ENSG00000120669,SOHLH2,ENSMFAG00000031914,
ENSG00000138604,GLCE,ENSMFAG00000045812,GLCE
ENSG00000149016,TUT1,ENSMFAG00000000912,
ENSG00000168899,VAMP5,ENSMFAG00000009769,VAMP5
ENSG00000130584,ZBTB46,ENSMFAG00000042680,ZBTB46
ENSG00000254772,EEF1G,ENSMFAG00000007224,
ENSG00000254772,EEF1G,ENSMFAG00000034295,
ENSG00000105989,WNT2,ENSMFAG00000044147,WNT2
ENSG00000184564,SLITRK6,ENSMFAG00000040915,SLITRK6
ENSG00000167700,MFSD3,ENSMFAG00000032935,MFSD3
ENSG00000137727,ARHGAP20,ENSMFAG00000036507,ARHGAP20
ENSG00000162598,C1orf87,ENSMFAG00000044638,C1orf87
ENSG00000103642,LACTB,ENSMFAG00000001322,LACTB
ENSG00000119547,ONECUT2,ENSMFAG00000032509,ONECUT2
ENSG00000147889,CDKN2A,ENSMFAG00000043625,CDKN2B
ENSG00000197774,EME2,ENSMFAG00000026250,EME2
ENSG00000168843,FSTL5,ENSMFAG00000044416,FSTL5
ENSG00000084774,CAD,ENSMFAG00000036356,CAD
ENSG00000165300,SLITRK5,ENSMFAG00000040496,SLITRK5
ENSG00000146038,DCDC2,ENSMFAG00000001295,DCDC2
ENSG00000115289,PCGF1,ENSMFAG00000003993,PCGF1
ENSG00000175077,RTP1,ENSMFAG00000021979,RTP1
ENSG00000167106,FAM102A,ENSMFAG00000035552,FAM102A
ENSG00000136770,DNAJC1,ENSMFAG00000004029,DNAJC1
ENSG00000129636,ITFG1,ENSMFAG00000038548,ITFG1
ENSG00000118939,UCHL3,ENSMFAG00000002583,UCHL3
ENSG00000186081,KRT5,ENSMFAG00000038566,KRT5
ENSG00000184857,TMEM186,ENSMFAG00000030183,TMEM186
ENSG00000204351,SKIV2L,ENSMFAG00000034235,SKIV2L
ENSG00000106479,ZNF862,ENSMFAG00000045923,ZNF862
ENSG00000107551,RASSF4,ENSMFAG00000031803,RASSF4
ENSG00000137819,PAQR5,ENSMFAG00000040350,PAQR5
ENSG00000127241,MASP1,ENSMFAG00000040221,MASP1
ENSG00000141665,FBXO15,ENSMFAG00000031818,FBXO15
ENSG00000144749,LRIG1,ENSMFAG00000033439,LRIG1
