Neurotransmitter,Class,HumanEnsg,HumanGeneName,mfas5_Ensg,mfas5_GeneName
Glutamate,receptors,ENSG00000183454,GRIN2A,ENSMFAG00000037083,GRIN2A
Glutamate,receptors,ENSG00000273079,GRIN2B,ENSMFAG00000007024,GRIN2B
Glutamate,receptors,ENSG00000161509,GRIN2C,ENSMFAG00000045163,GRIN2C
Glutamate,receptors,ENSG00000105464,GRIN2D,ENSMFAG00000031618,GRIN2D
Glutamate,receptors,ENSG00000198785,GRIN3A,ENSMFAG00000044847,GRIN3A
Glutamate,receptors,ENSG00000116032,GRIN3B,ENSMFAG00000040807,GRIN3B
Glutamate,receptors,ENSG00000152822,GRM1,ENSMFAG00000039075,GRM1
Glutamate,receptors,ENSG00000164082,GRM2,ENSMFAG00000045888,GRM2
Glutamate,receptors,ENSG00000198822,GRM3,ENSMFAG00000002229,GRM3
Glutamate,receptors,ENSG00000124493,GRM4,ENSMFAG00000043495,GRM4
Glutamate,receptors,ENSG00000168959,GRM5,ENSMFAG00000034520,GRM5
Glutamate,receptors,ENSG00000113262,GRM6,ENSMFAG00000002639,GRM6
Glutamate,receptors,ENSG00000196277,GRM7,ENSMFAG00000027785,GRM7
Glutamate,receptors,ENSG00000179603,GRM8,ENSMFAG00000000810,GRM8
Glutamate,reuptake,ENSG00000091664,SLC17A6,ENSMFAG00000040379,SLC17A6
Glutamate,reuptake,ENSG00000104888,SLC17A7,ENSMFAG00000001898,SLC17A7
Glutamate,reuptake,ENSG00000179520,SLC17A8,ENSMFAG00000002114,SLC17A8
Glutamate,reuptake,ENSG00000106688,SLC1A1,ENSMFAG00000038163,SLC1A1
Glutamate,reuptake,ENSG00000110436,SLC1A2,ENSMFAG00000043293,SLC1A2
Glutamate,reuptake,ENSG00000079215,SLC1A3,ENSMFAG00000024693,SLC1A3
Glutamate,reuptake,ENSG00000115902,SLC1A4,ENSMFAG00000003847,SLC1A4
Glutamate,reuptake,ENSG00000105143,SLC1A6,ENSMFAG00000003076,SLC1A6
Glutamate,reuptake,ENSG00000162383,SLC1A7,ENSMFAG00000041399,SLC1A7
Glutamate,packaging,ENSG00000111371,SLC38A1,ENSMFAG00000009753,SLC38A1
Glycine,breakdown,ENSG00000145020,AMT,ENSMFAG00000003688,AMT
Glycine,breakdown,ENSG00000091140,DLD,ENSMFAG00000002432,DLD
Glycine,breakdown,ENSG00000140905,GCSH,ENSMFAG00000041821,GCSH
Glycine,breakdown,ENSG00000178445,GLDC,ENSMFAG00000039599,GLDC
Glycine,receptors,ENSG00000145888,GLRA1,ENSMFAG00000033181,GLRA1
Glycine,receptors,ENSG00000101958,GLRA2,ENSMFAG00000041989,GLRA2
Glycine,receptors,ENSG00000145451,GLRA3,ENSMFAG00000034554,GLRA3
Glycine,receptors,ENSG00000188828,GLRA4,ENSMFAG00000045299,GLRA4
Glycine,receptors,ENSG00000109738,GLRB,ENSMFAG00000001940,GLRB
Glycine,synthesis,ENSG00000176974,SHMT1,ENSMFAG00000034627,SHMT1
Glycine,synthesis,ENSG00000182199,SHMT2,ENSMFAG00000002112,SHMT2
Glycine,packaging,ENSG00000101438,SLC32A1,ENSMFAG00000004019,SLC32A1
Glycine,reuptake,ENSG00000017483,SLC38A5,ENSMFAG00000000065,SLC38A5
Glycine,packaging,ENSG00000157103,SLC6A1,ENSMFAG00000007438,SLC6A1
Glycine,packaging,ENSG00000132164,SLC6A11,ENSMFAG00000034176,SLC6A11
Glycine,packaging,ENSG00000010379,SLC6A13,ENSMFAG00000038990,SLC6A13
Glycine,reuptake,ENSG00000165970,SLC6A5,ENSMFAG00000040202,SLC6A5
Glycine,reuptake,ENSG00000196517,SLC6A9,ENSMFAG00000000702,SLC6A9
Norepinephrine,receptors,ENSG00000120907,ADRA1A,ENSMFAG00000030813,ADRA1A
Norepinephrine,receptors,ENSG00000170214,ADRA1B,ENSMFAG00000045077,ADRA1B
Norepinephrine,receptors,ENSG00000171873,ADRA1D,ENSMFAG00000003889,ADRA1D
Norepinephrine,receptors,ENSG00000150594,ADRA2A,ENSMFAG00000043222,ADRA2A
Norepinephrine,receptors,ENSG00000274286,ADRA2B,ENSMFAG00000035322,ADRA2B
Norepinephrine,receptors,ENSG00000184160,ADRA2C,ENSMFAG00000003755,ADRA2C
Norepinephrine,receptors,ENSG00000043591,ADRB1,ENSMFAG00000031007,ADRB1
Norepinephrine,receptors,ENSG00000169252,ADRB2,ENSMFAG00000021322,ADRB2
Norepinephrine,receptors,ENSG00000188778,ADRB3,ENSMFAG00000039383,ADRB3
Norepinephrine,breakdown,ENSG00000093010,COMT,ENSMFAG00000030334,COMT
Norepinephrine,synthesis,ENSG00000123454,DBH,ENSMFAG00000041482,DBH
Norepinephrine,breakdown,ENSG00000189221,MAOA,ENSMFAG00000041722,MAOA
Norepinephrine,breakdown,ENSG00000069535,MAOB,ENSMFAG00000040990,MAOB
Norepinephrine,packaging,ENSG00000036565,SLC18A1,ENSMFAG00000029619,SLC18A1
Norepinephrine,packaging,ENSG00000165646,SLC18A2,ENSMFAG00000031383,SLC18A2
Norepinephrine,reuptake,ENSG00000103546,SLC6A2,ENSMFAG00000002998,SLC6A2
Serotonin,synthesis,ENSG00000129673,AANAT,ENSMFAG00000030450,AANAT
Serotonin,breakdown,ENSG00000165092,ALDH1A1,ENSMFAG00000038785,ALDH1A1
Serotonin,synthesis,ENSG00000132437,DDC,ENSMFAG00000025021,DDC
Serotonin,receptors,ENSG00000178394,HTR1A,ENSMFAG00000015230,HTR1A
Serotonin,receptors,ENSG00000135312,HTR1B,ENSMFAG00000042700,HTR1B
Serotonin,receptors,ENSG00000179546,HTR1D,ENSMFAG00000029390,HTR1D
Serotonin,receptors,ENSG00000179097,HTR1F,ENSMFAG00000033818,HTR1F
Serotonin,receptors,ENSG00000102468,HTR2A,ENSMFAG00000004073,HTR2A
Serotonin,receptors,ENSG00000135914,HTR2B,ENSMFAG00000003469,HTR2B
Serotonin,receptors,ENSG00000147246,HTR2C,ENSMFAG00000040884,HTR2C
Serotonin,receptors,ENSG00000166736,HTR3A,ENSMFAG00000044451,HTR3A
Serotonin,receptors,ENSG00000149305,HTR3B,ENSMFAG00000002022,HTR3B
Serotonin,receptors,ENSG00000178084,HTR3C,ENSMFAG00000042002,HTR3C
Serotonin,receptors,ENSG00000186090,HTR3D,ENSMFAG00000001227,HTR3D
Serotonin,receptors,ENSG00000186038,HTR3E,ENSMFAG00000001496,HTR3E
Serotonin,receptors,ENSG00000164270,HTR4,ENSMFAG00000043212,HTR4
Serotonin,receptors,ENSG00000157219,HTR5A,ENSMFAG00000046388,HTR5A
Serotonin,receptors,ENSG00000158748,HTR6,ENSMFAG00000032215,HTR6
Serotonin,receptors,ENSG00000148680,HTR7,ENSMFAG00000001114,HTR7
Serotonin,breakdown,ENSG00000189221,MAOA,ENSMFAG00000041722,MAOA
Serotonin,breakdown,ENSG00000069535,MAOB,ENSMFAG00000040990,MAOB
Serotonin,packaging,ENSG00000036565,SLC18A1,ENSMFAG00000029619,SLC18A1
Serotonin,packaging,ENSG00000165646,SLC18A2,ENSMFAG00000031383,SLC18A2
Serotonin,reputake,ENSG00000108576,SLC6A4,ENSMFAG00000002876,SLC6A4
Serotonin,reuptake,ENSG00000180251,SLC9A4,ENSMFAG00000044816,SLC9A4
Serotonin,synthesis,ENSG00000129167,TPH1,ENSMFAG00000001760,TPH1
Serotonin,synthesis,ENSG00000139287,TPH2,ENSMFAG00000035804,TPH2
