Num,Crab.eating.macaque.gene.stable.ID,Crab.eating.macaque.gene.name,Human.Gene.stable.ID,Human.Gene.name,Human.Entrez.Gene,pls1Neg,pls1Pos,GO.0099536.synaptic.signaling,GO.0007272.ensheathment.of.neurons,GO.0050808.synapse.organization,GO.0061564.axon.development,GO.0007612.learning,GO.0016198.axon.choice.point.recognition,GO.0034765.regulation.of.ion.transmembran,GO.1903305.regulation.of.regulated.secret,GO.0044057.regulation.of.system.process,GO.0019932.second.messenger.mediated.sign,GO.0022029.telencephalon.cell.migration,GO.0040008.regulation.of.growth,hsa04080.Neuroactive.ligand.receptor.in,GO.0090066.regulation.of.anatomical.struc,GO.0046328.regulation.of.JNK.cascade,GO.0046849.bone.remodeling,GO.0007422.peripheral.nervous.system.deve,GO.0035235.ionotropic.glutamate.receptor,GO.0015701.bicarbonate.transport,GO.0046467.membrane.lipid.biosynthetic.pr,TotalEvidenceCount
16.0,ENSMFAG00000000422,VWA1,ENSG00000179403,VWA1,64856.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17.0,ENSMFAG00000000424,NDE1,ENSG00000072864,NDE1,54820.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18.0,ENSMFAG00000000427,ANKAR,ENSG00000151687,ANKAR,150709.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19.0,ENSMFAG00000000428,ZNF410,ENSG00000119725,ZNF410,57862.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20.0,ENSMFAG00000000465,AGAP2,ENSG00000135439,AGAP2,116986.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21.0,ENSMFAG00000000466,PRKCD,ENSG00000163932,PRKCD,5580.0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
22.0,ENSMFAG00000000469,PRIMPOL,ENSG00000164306,PRIMPOL,201973.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23.0,ENSMFAG00000000498,REXO1,ENSG00000079313,REXO1,57455.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24.0,ENSMFAG00000000503,RASA3,ENSG00000185989,RASA3,22821.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25.0,ENSMFAG00000000513,JPH1,ENSG00000104369,JPH1,56704.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26.0,ENSMFAG00000000544,FOXG1,ENSG00000176165,FOXG1,2290.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.0,ENSMFAG00000000581,GSTCD,ENSG00000138780,GSTCD,79807.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28.0,ENSMFAG00000000583,EXOC7,ENSG00000182473,EXOC7,23265.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29.0,ENSMFAG00000000598,DCLRE1C,ENSG00000152457,DCLRE1C,64421.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.0,ENSMFAG00000000621,CNP,ENSG00000173786,CNP,1267.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31.0,ENSMFAG00000000642,PPM1F,ENSG00000100034,PPM1F,9647.0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32.0,ENSMFAG00000000684,KCNH6,ENSG00000173826,KCNH6,81033.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33.0,ENSMFAG00000000690,MED14,ENSG00000180182,MED14,9282.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34.0,ENSMFAG00000000693,TMEM98,ENSG00000006042,TMEM98,26022.0,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35.0,ENSMFAG00000000702,SLC6A9,ENSG00000196517,SLC6A9,6536.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
36.0,ENSMFAG00000000710,NUP37,ENSG00000075188,NUP37,79023.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37.0,ENSMFAG00000000755,ENSMFAG00000000755,ENSG00000284292,AC004922.1,,1,0,,,,,,,,,,,,,,,,,,,,,
38.0,ENSMFAG00000000799,HFE,ENSG00000010704,HFE,3077.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39.0,ENSMFAG00000000803,SP5,ENSG00000204335,SP5,389058.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40.0,ENSMFAG00000000805,ITPRID1,ENSG00000180347,ITPRID1,223075.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41.0,ENSMFAG00000000855,STK3,ENSG00000104375,STK3,6788.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
42.0,ENSMFAG00000000875,FHL3,ENSG00000183386,FHL3,2275.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43.0,ENSMFAG00000000918,ZNF71,ENSG00000197951,ZNF71,58491.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44.0,ENSMFAG00000000942,TAPBP,ENSG00000231925,TAPBP,6892.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45.0,ENSMFAG00000001017,ABHD17B,ENSG00000107362,ABHD17B,51104.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46.0,ENSMFAG00000001040,ENSMFAG00000001040,,,,1,0,,,,,,,,,,,,,,,,,,,,,
47.0,ENSMFAG00000001061,SLC31A2,ENSG00000136867,SLC31A2,1318.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48.0,ENSMFAG00000001073,ADGRG2,ENSG00000173698,ADGRG2,10149.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49.0,ENSMFAG00000001076,DNAH5,ENSG00000039139,DNAH5,1767.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.0,ENSMFAG00000001080,ARHGEF9,ENSG00000131089,ARHGEF9,23229.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,ENSMFAG00000001093,HDAC1,ENSG00000116478,HDAC1,3065.0,1,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52.0,ENSMFAG00000001094,KRT3,ENSG00000186442,KRT3,3850.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53.0,ENSMFAG00000001102,RDH12,ENSG00000139988,RDH12,145226.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
54.0,ENSMFAG00000001106,SH3TC2,ENSG00000169247,SH3TC2,79628.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
55.0,ENSMFAG00000001130,TEP1,ENSG00000129566,TEP1,7011.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
56.0,ENSMFAG00000001140,NEURL1,ENSG00000107954,NEURL1,9148.0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57.0,ENSMFAG00000001220,ARRB2,ENSG00000141480,ARRB2,409.0,0,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58.0,ENSMFAG00000001244,PCGF3,ENSG00000185619,PCGF3,10336.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59.0,ENSMFAG00000001257,TMEM54,ENSG00000121900,TMEM54,113452.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60.0,ENSMFAG00000001335,LRFN1,ENSG00000128011,LRFN1,57622.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61.0,ENSMFAG00000001363,USP54,ENSG00000166348,USP54,159195.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
62.0,ENSMFAG00000001376,SELENOS,ENSG00000131871,SELENOS,55829.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
63.0,ENSMFAG00000001386,TSPYL4,ENSG00000187189,TSPYL4,23270.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
64.0,ENSMFAG00000001389,PI4KA,ENSG00000241973,PI4KA,5297.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65.0,ENSMFAG00000001391,CDCA7L,ENSG00000164649,CDCA7L,55536.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66.0,ENSMFAG00000001408,ELP2,ENSG00000134759,ELP2,55250.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67.0,ENSMFAG00000001426,RAPGEFL1,ENSG00000108352,RAPGEFL1,51195.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
68.0,ENSMFAG00000001442,MAFG,ENSG00000197063,MAFG,4097.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
69.0,ENSMFAG00000001464,IDE,ENSG00000119912,IDE,3416.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70.0,ENSMFAG00000001468,ZSCAN32,ENSG00000140987,ZSCAN32,54925.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71.0,ENSMFAG00000001502,ADM,ENSG00000148926,ADM,133.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
72.0,ENSMFAG00000001510,B4GALNT3,ENSG00000139044,B4GALNT3,283358.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73.0,ENSMFAG00000001518,PIANP,ENSG00000139200,PIANP,196500.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74.0,ENSMFAG00000001564,ENSMFAG00000001564,ENSG00000079387,SENP1,29843.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75.0,ENSMFAG00000001576,NEXMIF,ENSG00000050030,NEXMIF,340533.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76.0,ENSMFAG00000001618,PTPDC1,ENSG00000158079,PTPDC1,138639.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77.0,ENSMFAG00000001634,ATP9A,ENSG00000054793,ATP9A,10079.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78.0,ENSMFAG00000001665,DNAJC5,ENSG00000101152,DNAJC5,80331.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79.0,ENSMFAG00000001669,RNF114,ENSG00000124226,RNF114,55905.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80.0,ENSMFAG00000001692,MAPK8IP2,ENSG00000008735,MAPK8IP2,23542.0,0,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
81.0,ENSMFAG00000001731,VAMP3,ENSG00000049245,VAMP3,9341.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82.0,ENSMFAG00000001732,DOCK5,ENSG00000147459,DOCK5,80005.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83.0,ENSMFAG00000001770,PSD3,ENSG00000156011,PSD3,23362.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
84.0,ENSMFAG00000001810,CDH10,ENSG00000040731,CDH10,1008.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85.0,ENSMFAG00000001850,USP20,ENSG00000136878,USP20,10868.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86.0,ENSMFAG00000001852,TMLHE,ENSG00000185973,TMLHE,55217.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
87.0,ENSMFAG00000001867,CAPN7,ENSG00000131375,CAPN7,23473.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.0,ENSMFAG00000001870,ZNF20,ENSG00000132010,ZNF20,7568.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.0,ENSMFAG00000001889,PPP1R14C,ENSG00000198729,PPP1R14C,81706.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90.0,ENSMFAG00000001969,GNG13,ENSG00000127588,GNG13,51764.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
91.0,ENSMFAG00000001996,CLCA2,ENSG00000137975,CLCA2,9635.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
92.0,ENSMFAG00000002027,MAT2A,ENSG00000168906,MAT2A,4144.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93.0,ENSMFAG00000002072,PCDH8,ENSG00000136099,PCDH8,5100.0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
94.0,ENSMFAG00000002123,ANKRD13B,ENSG00000198720,ANKRD13B,124930.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95.0,ENSMFAG00000002160,SPINDOC,ENSG00000168005,SPINDOC,144097.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96.0,ENSMFAG00000002176,SETD7,ENSG00000145391,SETD7,80854.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
97.0,ENSMFAG00000002180,ADGRL1,ENSG00000072071,ADGRL1,22859.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
98.0,ENSMFAG00000002207,PLS1,ENSG00000120756,PLS1,5357.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
